premise	hypothesis	label
A hot air balloon is rising in to the sky.	A red hot air balloon lands in a field among a crowd.	2
A father holding a ball.	A mother holds her newborn baby.	2
A boy sits in the road.	A young boy wearing a red shirt runs along a gravel road.	2
a man walking backwards	A woman in a burgundy coat exits Trader Joe's with a cart full of groceries.	2
A man is in a driveway washing his car.	A woman is walking with a full shopping cart away from a Trader Joe's.	2
A survivor searches for a meal.	A rescue worker searches with a flashlight under a slab in a ruined building.	2
A fireman sits at his station.	A fireman with a neon helmet and a pickaxe inspects some debris with a flashlight.	2
A man in a swimsuit is talking to another man.	A dark-haired man in a black uniform is speaking to a man wearing a black jacket and black helmet on a motorbike.	2
The man is inside the restaurant in a booth.	A man is sitting at a restaurant table outdoors.	2
Children are burning flags in protest.	Young children waving American flags for a soldier	2
A man driving a go kart, numbered 34, on a narrow dirt road.	A man in a helmet and protective gear driving a go kart, numbered 65, on a narrow paved road.	2
A small child is standing by the man.	A small child in a red jacket is sitting on a man's shoulders and holding his head.	2
A group of kids slide down a water slide as their parents watch them.	Four youth and an elder man and woman playing in water just up to the bottom of man's swim trunks.	2
A young man is standing on both feet barefooted.	A young man standing on one foot in colorful bowling shoes after throwing the ball.	2
A woman is reading a book in her house.	A zaftig woman in a tube top and jeans dancing outdoors, with a guitarist behind her.	2
All of the cartoon characters are sleeping while standing up.	Several cartoon characters are behind a young girl sitting in a highchair with a bucket and SpongeBob in front of her.	2
People are feeding ducks.	People waiting to cross the street on the side of a sidewalk.	2
Little boy blows spit at people who walk by.	Little girl blows bubbles in a public square.	2
An older gentleman looks away from the camera while he is building a birdhouse.	An older gentleman looks at the camera while he is building a deck.	2
A boy is watching a cartoon from a recliner.	The young man in the plaid shirt is sitting on a chair that is out in the yard.	2
The people are taking a science test.	Group of young adults posing for picture near spanish-language sign.	2
A dog is sleeping in a home.	two shirtless men jumping over a street rail, probably practicing new dance moves.	2
no boy is outside in the streets playing.	A boy plays with a motorized car next to a dirty street lined with real cars.	2
The small child is dressed in tank top and shorts.	The small child is wearing winter clothes and a hat.	2
A dog barks at the wall.	A little white curly-haired dog runs across the pavement with a stick in its mouth.	2
A man walks to the store.	A young white man in running gear is jogging by the water.	2
There is a a lot of people on a train.	A young girl with water wings leaps into a crowded pool	2
A girl is picks up her skateboard.	A boy wearing a helmet is jumping his skateboard.	2
The people are dancing around the room in a conga line.	A group of people sitting around a small round table eating.	2
A woman and her cat are laying by the fireplace.	A woman is walking her dog along a snowy ground.	2
Boxing match between two star fighters.	A middle-aged man in a green jacket is talking to another middle-aged man in a light blue tee-shirt.	2
a man orders a mamosa for another man	A man in a blue shirt was arguing with a man in a green jacket and started to raise his fist in anger.	2
This woman is skiing down a grassy hill.	This woman is skiing down a snowy hill.	2
An adult and two children are on a rollercoaster.	A lady sitting on a bench with a book on her lap with a boy and girl on either side of her.	2
Nobody has face paint	A teenager blows a whistle and wears white face paint, earmuffs, and a yellow hat while another teen watches.	2
The group sits under a pavilion at an amusement part as rain pours down from the heavens.	"A group of people are riding down a roller coaster that appears to be called the ""Cyclone."""	2
the girl is playing cricket	Small girl in a pink dress is playing electronic drum pads with sticks.	2
A man and a dog are sitting on the couch.	The man is throwing a toy to a brown and black dog in the park.	2
A woman is not using an umbrella.	The young Asian woman is using an umbrella, and is in front of a brightly colored patch of flowers in the back.	2
The woman is wearing a full sleeved jacket.	A woman with a vest and red shirt is holding her hand up above a black and white dog that is jumping.	2
A boy is swimming in the bay.	"A boy making an ""oh!"" face in front of a bay."	2
The group is fighitng eachother	Three men in hats and a woman in a red shirt examine the produce presented to them by the man in the blue shirt and white hat.	2
both of the children are sitting in dirt	Two children are sitting on a white blanket, while the other child is sitting in the dirt.	2
A man is sitting on his bicycle, waiting for the light to turn green.	The red motocross bike and its rider are airborne above the trees.	2
3 boating people being attacked by lions.	3 people on plain boats smiling towards the camera.	2
The crowd is playing hockey.	A crowd of people fill the street in front of a McDonald's.	2
a cat sleeps on the couch	A child dressed in purple clothing and a hat runs in splashing water while a man and a small boy walk nearby.	2
the man is naked	A young, well-dressed black man seated behind a drum set and smiling.	2
The skateboard has 8 wheels.	A guy is attempting to perform a skateboard trick while jumping over part of a white building in an attempt to land on the concrete outside.	2
timmy stares at the remains of Jimmy hoffa	This person looks to be snowboarding on a very small pile of snow on a sunny cold day.	2
The person is walking	A person, in a striped blue shirt and pants, is running along.	2
The man is at the bank.	A man looks intent while sculpting a gargoyle.	2
A man sitting and woman punching him the face.	A man sitting and a woman laying in his lap kissing each other.	2
The man is swimming in a pool.	A man performing auto repair in front of a building.	2
People on a nature walk with no equipment and trees to the right of them.	People on a nature walk with nets and backpacks with trees to the left of them.	2
A man is holding a snowboard.	A man holding a yellow surfboard facing the ocean.	2
There is a water scene with a full moon in the back.	A water scene with a sunset in the background.	2
A woman is performing a speech for her workers.	The man is performing a trick on a motorcycle high in the air.	2
A man watches surfing on television.	A wakeboarder.	2
Two men are kissing.	A blond woman wearing a pearl bracelet is about to kiss a man wearing a white shirt.	2
Two men work in a butchers shop, selling steak.	Two men at a fish market filled with boxes of fish and freshly cut fillets study a weight scale.	2
A leprechaun is skateboarding.	A young man wearing a green shirt and a hat attempts a trick on a skateboard while riding it in a skate park next to a beach.	2
man sleeps in bed	an asian man in a black tracksuit is watching students doing exercised on basketball court.	2
Nobody is in orange	Four men wearing orange vests are putting in a steel beam on the ground.	2
A woman in a pink coat is watching children play a board game.	A woman in a fur lined plaid purple jacket stands by a table full of eating children.	2
The baseball players threw soccer balls at the batsman.	The baseball players near the pitching mound are celebrating as the batsman walks away.	2
A doctor prescribes some medicine.	The blond young man who had been splattered with paint colors of blue, orange, and green held up his camera to take a picture.	2
A man wearing only a hat, boots, and underwear is licking the sidewalk	A man wearing only a hat, boots, and underwear is walking the sidewalk with a guitar strapped around his shoulder.	2
Two girls with short blonde hair playing a game.	Two young girls with long brunette hair, standing in front of a stone wall playing a game.	2
A man talks to another.	A brunette woman holding a little girl dressed in pink is kneeling next to a grazing white and brown llama in the foreground of a hilly community.	2
Species of animals are indoors.	Four people and a dog out in the woods.	2
A little girl is inside on her computer.	A young girl with a purple shirt and a pink hair band standing near the woods.	2
A man is carrying a bunch of kittens.	A man in a white shirt and baseball hat is pushing a cart carrying several bags on a street.	2
The two men are fighting.	A man and a child painting a post.	2
The dog is laying down on the bed.	White dog high jumping over some pillows.	2
the men are headed to the movies	A lady with blue jeans and a brown shirt is speaking on her cellphone on the second floor of the mall.	2
A woman is wearing a mask	A man, with a full face mask, sits on a sidewalk playing the guitar.	2
The people are sleeping.	In front is a guy singing and playing guitar and a white shirted drummer in the back.	2
The dog is going to catch a baseball.	a dog about to jump to catch a Frisbee	2
A woman is yelling at a crowd and they cannot hear her because she has no microphone.	A woman in orange sunglasses is playing the drums while speaking into a microphone in front of a large sign.	2
There are men in suits sitting in a restaurant.	These people are in uniform at a lacrosse type game.	2
A couple and their dog are in their living room.	A couple walking their dog.	2
3 men are running	Two women and a little girl are resting with food and drink near a log in a grassy field under flowering trees.	2
A small child is boxing in the ring	A small child with a backpack walks down a narrow road next to a painted wall.	2
The man tore down the shed.	man doing carpentry or construction on top of an unfinished building.	2
The black dog has a red toy.	a brown dog with a yellow toy in his mouth is jumping off the grassy ground	2
Two women are having coffee.	Two men with matching t-shirts fold a towel in the living room.	2
Two women are staring at a mountain and neither has any headphones or jackets.	Two men wearing red jackets are looking out over some water and one man has yellow earphones on his ears.	2
The jackets are blue.	Two men wearing red jackets are looking out over some water and one man has yellow earphones on his ears.	2
A woman running through a sunny field.	A person standing next to an old dark building.	2
The old folks were racing in their wheel chairs in the rain.	Young people and a kid are walking in the forest in a sunny day.	2
A girl is reading a book.	A child enjoying themselves on a yellow slide at a park.	2
A person is sitting between two televisions.	A person stands between two giant statues that look like faces.	2
one girl running	Two girls wearing hats are running through snow drifts outside.	2
Two girls are sunbathing on the beach.	Two young teenage girls hiking through the snow on a cold winter day.	2
The group is separate from one another.	A performance group is staged in one collective motion.	2
two children are riding in an airplane	Two children wearing hooded tops laughing with each other.	2
A toddler is sitting at the bottom of a mud slide and frowning.	A toddler is sitting at the bottom of a slide and smiling.	2
The boy is on the floor, writhing in agony.	A young boy is following through on a kick during a soccer game, while two players on the opposing team challenge.	2
There are flying pigs too.	Man taking photos of seagulls over the ocean.	2
the ref is back flipping in the mud	Two men scrimmage in soccer, as a referee looks on.	2
Workers assembling cell phones in a factory.	At an outdoor event on a large table, several workers form an assembly line in which they prepare food, with many squeeze bottles and dispensers visible and a woman wearing plastic gloves in the foreground.	2
A man is laying down on a park bench as people walk by.	A man in a plaid shirt and brown pants is sitting on the sidewalk in front of some blankets while people walk by.	2
There is nobody near the trench.	A group of three people are digging a large trench in a yard while another person walks close by.	2
A woman is break dancing	a breakdancer man is performing for the kids at school	2
A woman is walking through her bedroom.	A young woman talks on the phone and carries her bags while walking past some hats on display.	2
The child is eating lunch at the park.	A child doing gymnastics	2
A boy plays air guitar while lip syncing.	A young girl is playing a musical instrument and singing into a microphone.	2
An old woman and a young man are crossing the street.	A young woman with brown hair and an elderly man with gray hair and a sweater jump in the air on a snowy hill with snowshoes on their feet.	2
The boy is sitting on the ground.	A boy spinning on a blue and yellow merry-go-round.	2
A woman selling tires.	This woman is setting out a vegetable collection for sale in the market.	2
Neither one of them enjoy smoking.	A couple of females are talking to each other while one is flicking her cigarette.	2
The surfer is skateboarding.	A surfer is riding a wave in a large body of water.	2
A swimmer at a pool.	A surfer on a wave.	2
The man is sitting in his living room.	A man in glasses in a basement.	2
A man dumping a truck full of dirt onto the street	A woman sweeping in front of a ladder on a busy street.	2
The girl sits at the kitchen table, decorating the Christmas cookies while her mother looks on.	A young girl running on grass	2
A thick haired man sits on the ground.	A balding man with glasses stands in front of a colorful display.	2
A person walking inside a building.	pedestrian walking on the street	2
A woman strips in a sleazy club.	One man watches while another breakdances, balancing himself for a moment on one hand.	2
The people are waiting at their table for the waitress to bring their food.	People ordering and picking up food at a restaurant window.	2
People are eating live turtles.	A soccer team is standing on the field waiting for their time to make a move.	2
There is one man holding the net.	Several men helping each other pull in a fishing net.	2
The collie is running through the park.	The collie is standing outdoors on a sandy area.	2
A group of people waiting for a larger boat.	A group of people traveling in a small wooden boat.	2
A group of people on a sunken boat.	A group of people traveling in a small wooden boat.	2
Dog is asleep on the floor.	a dog jumps over the pole.	2
A baseball player has a green and orange helmet.	baseball player dressed in blue with a red helmet at home plate in front of a catcher and umpire swinging a bat	2
An child is throwing stones at a leaf wall	A toddler sits on a stone wall surrounded by fallen leaves.	2
A boy is helping his dad dig a ditch.	A male performer sings and plays the guitar in front of a microphone.	2
Everyone is bald	A man with medium length curly hair, wearing a button down shirt and bracelets, sings into a microphone while he plays a guitar.	2
A man and women are sitting by the fire.	A man in a black coat and hat and a woman in a blue coat with pink hat snowshoeing on the side of a road with a stoplight in the background.	2
A three piece band plays a song on a medium-size stage.	A four piece band plays a song on a medium-size stage.	2
Nobody has a costume one	Two men in costumes with fake carrot noses, top hats, sunglasses and white fur coats that contain white electrical lights.	2
Three men are watching a football game at one of their houses.	Three men drink at a reflective bar.	2
two women are dressed up	Two men are dressed up as snowmen.	2
The man is shopping at the mall	Person fishing in river.	2
Two men are watchin TV inside	A man in orange and a man in a light blue top are walking down the street towards something.	2
There four females	One female and two male musicians holding musical equipment.	2
A man cleans up a spill.	A group of people taking pictures on a walkway in front of a large body of water.	2
A puppy is rolling on the ground	A big dog catches a ball on his nose	2
The females are robbing a bank.	Two females kneeling and a man sting in a chair looking toward a man in robes on an altar.	2
A white dog is laying on the grass.	A wet black lab with a red collar is standing in the water.	2
The teen is dancing in her room.	a teenager laying down with paper crafts strewn about the floor	2
The man is wearing yellow.	a young boy in green playing ping-pong with a older man in blue in a gymnasium	2
Woman with an orange bandanna is playing the flute.	Man with an orange bandanna is playing the flute.	2
The instrument plays a performer for an audience.	A performer plays an instrument for the audience.	2
Two married people avoid looking at one another.	Two people in coats kiss on the side of a road.	2
A person is feeding some cows.	A person in a red and tan coat is snowboarding off a hill of snow.	2
An actress takes the stage.	A light technician man with tribal tattoos aiming a spotlight over a balcony.	2
A woman stands holding her baby and crying.	A woman standing with smile on her face and she is holding a wood in her hand	2
The young boy is crying.	A young boy hanging on a pole smiling at the camera.	2
Three women are shopping at the mall.	Two women and a man are sitting down eating and drinking various items.	2
A man is wearing a green t shirt while holding a banana.	The man is wearing an orange and black polo shirt and is kneeling with his lunch box in one hand while holding a banana in his other hand.	2
A football player in a black jersey.	A football layer wearing a red shirt.	2
Friends are meeting for coffee.	Six women wait to use a port-o-john in a field.	2
A young African child playing soccer.	A young african child in a dirty yellow shirt carrying a bag on his head.	2
The city is completely devoid of people.	The festivities of the Latin celebration has brought many visitors and enthusiastic, colorful, performers to the city.	2
A young boy plays with his yo-yo.	A small girl with braids blowing bubbles.	2
Bride running away from her wedding.	A smiling bride sits in a swing with her smiling groom standing behind her posing for the male photographer while a boy holding a bottled drink and another boy wearing a green shirt observe.	2
A man is standing on stage at a concert, playing saxophone.	Man sitting playing guitar.	2
A man is swimming in the ocean.	A man with long hair talking into a microphone as if on a stage.	2
She does a handstand in her business suit	"A woman wearing dollar sign glasses, holding a dollar bill, stands with a suitcase that says ""Lucky"" that is overflowing with cash."	2
The other person laughed.	A person is riding their motorbike and a person in a bright yellow jacket is watching someone fall off their bike.	2
Both people fell off their bike.	A person is riding their motorbike and a person in a bright yellow jacket is watching someone fall off their bike.	2
A man and two women are bungee jumping.	A man speaking with two women.	2
a man holding a baby	An older woman is holding a small child.	2
The child is too big to ride on the mans shoulders now.	A man is holding a child on his shoulders.	2
A blond boy is sleeping in bed at home.	A blond boy stands among people in a shady setting with a large snake wrapped around his chest.	2
the man is at home sleeping	Young child standing on a snow pile in a city.	2
the man is white	Young child standing on a snow pile in a city.	2
a man on a pile	Young child standing on a snow pile in a city.	2
A child riding his bike by the beach.	A child wearing a brown coat, red hat and snow boots on top of a snow pile near a tree on the corner of a street intersection.	2
Large crowds of people wait for a bus.	A small group of people wait to board an MTA bus.	2
A man is holding a leash on someone else dog.	A dog with a purple leash is held by a woman wearing white shoes.	2
She throws her phone into the sea	A woman talks on a cellphone while sitting in front of blue railings that are in front of the ocean.	2
Someone is at the movies with their friends.	A young male sitting in front of a computer monitor	2
The room is black.	Two people are setting up a photo shoot of a mobile in a white room.	2
The older men are sitting inside drinking tea.	Two distinguished older gentlemen stand outside a house, trees in background, both with white hair, the taller man having his arm about the other man's shoulder as they face the camera from behind their corrective lenses.	2
they are sitting on a couch	A tall elder man is standing with his hand around another shorter elder man in the middle of the city	2
the man is flying a plane	An elderly man with glasses, a red ball cap and backpack is standing in front of an open doorway.	2
The people are populating the city.	A large group of people populate a dimly lit room.	2
A man in blue walks his scooter down a street.	A young man in an orange hat walks his bicycle down a street.	2
A red-haired woman is working on the computer.	A woman with red-hair staples some papers	2
There are women shuffling papers.	A woman with red-hair staples some papers	2
A little boy looks disgusted that is ball is dirty	It looks like quite a sweaty, smelly dog pile over one little rugby ball, but the boys in blue seem to want it more.	2
A basketball player blocks a shot.	A white-clad soccer player is attempting to intercept a soccer ball that is quickly approaching the goal box.	2
A man is being arrested for assault with a knife.	A man is tossing a knife in the air while another man stands nearby.	2
The man is swimming in the ocean.	A man is holding a microphone in front of his mouth.	2
The photographer is holding the camera in his hands.	A photographer is using a tripod to take a picture of a sunset.	2
A group of people take turns carrying an injured child.	Child plays with pigeon in busy public area while group of people watch him play.	2
There are two women helping a boy with a harness.	Two men are assisting a small girl in a harness.	2
The men tying the girl up.	Two men are assisting a small girl in a harness.	2
A snowboarder takes a nap on the course.	a skier is throwing up snow as he skis off piste.	2
The person is driving the SUV.	A person in an orange jacket getting out of the rear of a Toyota SUV, parked in front of a view of the ocean and mountains.	2
A fully dressed man holds a sign.	A shirtless man with red paint on his torso holding a stick.	2
The boy's shirt is orange.	A boy in a yellow shirt running by some birds.	2
The young boy is watching a hockey game.	A young boy looks on as a man performs the guitar on the street while sitting on a bench.	2
A guy is jogging.	A man is repairing roof shingles.	2
Two guys are standing by a tree.	Two girls pose along a tree-lined path and blow kisses towards the camera.	2
Two people are racing cars.	Two racers race on motorcycles.	2
three men shooting the one girl	Three men dancing as a group of people watch.	2
They aren't paying attention to anything.	Two young girls looking very concerned.	2
A man is lying face down on the street.	Two young girls looking very concerned.	2
A child is tosses into a box by a woman.	A child is thrown by a man in the swimming pool.	2
There is a girl sleeping inside her house.	A young girl with her bike.	2
He plays a vial of gin.	Two men sit together and a woman is not too far from them under a bridge as all three watch the water in front of them.	2
A woman is doing the dishes.	An Asian woman in a purple shirt preparing a bowl of food for the younger Asian boy sitting near buy, while an Asian man eats a roll and prepares to take some food up with his chopsticks.	2
The boy plays the flute	A little boy in flannel pajama pants and an orange shirt is playing the guitar on the couch.	2
The man is sitting on the ground.	A man rides a bicycle while a young girl holds onto the back of him.	2
Two men are making pancakes in their swimtrunks.	There is one man with light blue jeans on, and one with dark blue jeans on that are walking down the street.	2
The two dogs are playing fetch with their owners.	two white dogs fighting with each other	2
5 girls wakeboarding	Five young blond and light brown-haired girls are sitting on the ground reading books together.	2
There is a dog walking down a tree lined street with snow scattered about.	There is a person walking down a tree lined street with snow scattered about.	2
10 people are kissing	2 people with backpacks are at a table with a woman with a beige blazer sitting behind it.	2
The man is laying in a mud puddle.	A man is doing a task by a body of water on a farm.	2
Bender strikes again!	On the ground a boy in a red sweatshirt is leaning over holding a football and two other kids.	2
A woman laying down sleeping	A woman is holding a microphone in one hand and her mouth is open.	2
The girls are in a rocket ship.	Two girls jumping on a trampoline, one upright and the other landing on her back, in a backyard.	2
A girl is blowing many tiny bubbles.	A girl is blowing a huge bubble.	2
A child signing I love you.	A small child is giving heavy metal signs	2
A child pretending his hand is a bull.	A small child is giving heavy metal signs	2
A lady is painting a picture	A female camera operator is capturing some off-camera activity.	2
A naked man is picking apples.	A man in a light brownish jacket, orange undershirt, blue jeans, and a black satchel, who has many sticks of cotton candy.	2
A man is running	A referee with a whistle in his mouth points to the right and watches as a player with the basketball bends down with a defensive player.	2
A referee is punching a goat	A referee with a whistle in his mouth points to the right and watches as a player with the basketball bends down with a defensive player.	2
Two women playing basketball.	Two black guys, that are on rival teams playing basketball.	2
A canoe goes over a waterfall.	A canoe in the distance on a lake as seen from another canoe.	2
A boy gets his tongue stuck to a metal post.	A young boy is hugging a wooden post.	2
There is a group of people, waiting at the bus stop.	4 children and 1 adult look at an armadillo on a grassy hill with 2 trees.	2
A kid eating a pizza on a bench by his bike.	A child with a yellow shirt riding a yellow bike in a city.	2
The boy's bike is blue.	a little boy is riding a yellow bicycle across a town square.	2
Two horses are pacing each other on a race track.	Two cars are being driven in a car race.	2
A dog is barking at the TV.	A young female gymnast, wearing a sequined royal blue and white outfit, is lifting her right leg straight up in the air.	2
An old man opens a door while carrying his bicycle out to the clean street.	Bicycles are littering the road as boy pull door.	2
a boy pushing a car up a hill.	A young boy attempts to push the Walmart shopping cart for a man.	2
A man is sleeping at home.	A shirtless man with his fishing boat.	2
The man doesn't like his fishing boat.	A shirtless man with his fishing boat.	2
The engineer was falling asleep.	An engineer with a blue jacket and cap wears purple gloves while looking up.	2
A jury convicts the innocent man because they thought it'd be funny.	Along a paved walkway outdoors, a person in a black windbreaker takes a photo of a multi-piece fish statue while a small white dog looks on.	2
A man and a woman are hugging in front of a restaurant.	A curly-haired man is talking or possibly debating with a blond-haired man in front of a table.	2
People are playing volleyball on the sand.	Three men in yellow green safety vests sit on a bench yawning, smoking and having a break.	2
The father is teaching his daughter how to ride a bike.	A father is teaching his son how to ride a bicycle.	2
Two women with leg hair share a laugh while enjoying the nice weather.	Two men with graying beards share a laugh while enjoying the nice weather.	2
A women in a conference room	A woman sitting in an office.	2
A women outside	A woman sitting in an office.	2
Nobody has hair	A bear-chested jungle native, with long hair, wearing a cloth bottom garment, is dangling in the air from a chute.	2
Two people are hiking.	Two adults hold either side of a boat at the edge of the water.	2
The child is dry.	A child with wet hair is holding a butterfly decorated beach ball.	2
No one is jumping.	Girl in black pants and an orange top jumping with one leg outstreached and foot pointed other in background dressed the same.	2
Both girls are doing a dance.	A girl in a costume is performing a dance as other girls in costumes watch.	2
Nobody has a hat	Women in a red hat and beige shoes standing with hands behind her back in front of a cement wall.	2
The beach is out of water.	"A sign indicates ""Dangerous Shorebreak"" on an overcast day while several people hang out on the beach."	2
The alcove is purple.	A five person Brass band is seated, semi-circularly, in a white alcove of a church that has stained glass windows.	2
The city laments at their lack of musicians.	A five piece horn band all playing in a hall of what looks like a church.	2
Two pups are eating.	Two dogs are playing together.	2
The woman had a blue cellphone.	A middle-aged woman with red-hair, a white shirt, and a silver beaded necklace is holding a yellow cellphone against her ear while talking.	2
A woman smokes a bong.	A man is holding a cigarette outdoors in front of a blue wall with a sink on it.	2
The colors has disappeared form the world.	A black and white picture of a city street with a food vendor in the foreground.	2
There is  no man	A man in a blue shirt and tan shorts has his feet in the steps of an exercise bicycle and is working on the control panel of the machine.	2
A dog singing karaoke.	A person sweeping stairs in a park.	2
The boats  are sailing on the ocean.	Three sailboats with white sails are seen on a riverbank.	2
Some men are waving hello and speaking to their superior.	Navy men stand along a red carpet and salute as their superior walks by.	2
A woman is scrambling eggs.	a baby getting a bath in the kitchen sink.	2
A man is sitting on a beach in Mexico.	A man in a suit stands on a walkway with is suitcase with a large display in front of him announcing airline flights.	2
Three people sitting by a fire.	Three people on skis are standing behind a no skiing sign.	2
The children are all holding up paper drawings.	A school aged child wearing makeup and doing a hand sign sits on the ground among similar aged children who are all making the same sign.	2
The young woman is asleep in bed.	A young woman stands by a barbecue.	2
The people are sitting on benches in the sunshine.	People on a sidewalk are trying to protect themselves from the rain with umbrellas and a newspaper.	2
Two people are ballroom dancing.	A young couple holding hands in the park.	2
The construction worker is dead.	Construction worker standing atop an unfinished building.	2
The child is crying and hurt.	Child is laughing and playing around.	2
The man is swimming at the bottom of the ocean.	A man grilling a hamburger.	2
the man is asleep on the bridge	A middle-aged man in a collard shirt is raising his forearms next to his face.	2
A young woman appears bored in a restaurant.	A young man appears bored in a restaurant.	2
This woman does not know the man she is pictured with.	a blond woman kissing the cheek of a brown-haired man.	2
Children building a sandcastle on the beach.	Child in blue polos are sitting around a table writing on their notebooks, one is standing up.	2
A man on a motorcycle.	A man in a hat is driving a horse-driven cart down a cobblestone street.	2
A woman lounging on the beach.	A woman in her swimsuit is kicking a ball on the beach.	2
A person is mountain climbing using nothing but his hands and the rocks.	A person is climbing a wooden ladder on a very steep, jagged, rock cliff.	2
A brown dog is running down the road chasing the mailman	A brown dog plays in a deep pile of snow.	2
A dog is asleep on the couch.	A white and black spotted dog is running through a grassy area.	2
The two women are walking down the shore drinking tea.	Two women drink coffee and chat while sitting on a blanket near a rocky shore.	2
The young girl is walking among the tulips.	Young Asian girl is sitting on the ground in rubble.	2
The girl is wearing her school uniform.	A girl dressed in a Halloween costume is carrying bag of candy and a scythe with a jack-o-lantern on someones porch in the background.	2
A man is jogging in the park.	Team member 39 waiting for the puck to come his way.	2
A woman in a coat with a briefcase walks down a street next to the bus lane.	A man in a coat with a briefcase walks down a street next to the bus lane.	2
A group of people playing monopoly.	A group of men and women are sitting at a table eating and drinking.	2
The yelling man is wearing a white shirt.	Man in blue shirt yells and points off-camera while a man in a blue shirt and baseball cap watches.	2
children playing baseball at the park	A man sitting on a statue outdoors, near a woman standing next to him.	2
A woman and child climb a tree.	A woman poses for a picture with a child.	2
The blanket is black.	A woman with a white blanket over her head is holding a baby wrapped in a blue, pink, and yellow blanket.	2
The boy is sitting down	A young boy swings a hula hoop while other children sit on the floor with their hoops.	2
A young girl doesn't jump while performing her routine.	A young girl, is mid jump, while performing a dance routine.	2
A man is drinking moonshine.	a young man pouring tea inside of a glass jar.	2
The girl falls from the fence.	A girl climbing a chain link fence.	2
Two people talk loudly in front of a cactus.	A man and a woman stand in front of a Christmas tree contemplating a single thought.	2
The couple are decorating for Halloween.	A young couple thinking about their Christmas decorations.	2
An old woman sleeps in the kitchen.	An olympian leaps over an obstacle.	2
A couple is standing and frowning.	A couple is sitting down smiling, with the woman linking arms with the man.	2
Nobody floats.	A child floating on a blue raft while a woman holds on to him while a black dog swims nearby.	2
A man lying on a field holding a wrecking ball.	A man lying on the grass on a rugby field, holding a rugby ball.	2
a dog eating a treat	A woman is sitting in a chair, while a man is going through the sport utility vehicle.	2
Skier beating up photographer.	a skier doing a trick on pole while being photographed by another man	2
man walking a dog	A woman carries a small, unhappy child in a busy street scene.	2
Most of the men are dressed in white shirts.	Multiple men fill the scene, one in a white button up shirt using his cellphone, the others wearing pink, orange, and green shirts engaged in various activities in the background.	2
The woman is playing soccer in the cobble stone streets of Brazil.	A woman in a bright pink and green skirt carries a large wicker basket on her back up a stone-cobbled street.	2
A group of dogs fighting over a dead body.	A big dog and a smaller dog fight over a piece of fabric.	2
A young girl does aerobics.	A young girl with blond-hair eating a peach.	2
A person is jumping out of a plane.	The man white purple and white polka-dotted shirts is eating and looking to his right while the woman behind him has a confused look on her face.	2
A businessman eats lunch in the cafe.	A dirty, shirtless homeless man sits on the sidewalk, holding his cup up to passerby asking for change.	2
The man is playing a guitar.	A person shovels the snow in the city as the snow continues to fall.	2
A man is riding in a spaceship to the moon.	A man with white hair wearing a gray suit speaks into a microphone with a metal jug sitting in front of him.	2
A man is underwater.	A man is holding on to a piece of rope, sitting in an inflatable boat, in front of several other larger boats.	2
The people are buying clothing at a stall in the street market.	A group of people are buying fruits and vegetables from a stand located in a street market.	2
Some people are shopping.	A small dog looking up to his loving owner.	2
The dog is loose running around the yard.	A brown and white dog is chained up near a red chair.	2
A girl is buying a cup of coffee.	A woman in a red shirt looks at a map while with a view of a river and several boats in the background.	2
The man sings and dances in the park.	The African American man protests against unlawful sex.	2
Nobody is wearing a uniform	One young woman in a blue uniform helping another young woman in a blue sweatshirt with a white band around her arm.	2
The dogs are asleep on the sofa.	Two dogs either fighting or playing together.	2
A group of boys are studying for a test.	A group of young boys wearing track jackets stretch their legs on a gym floor as they sit in a circle.	2
A group of athletes	A group of young band members wearing black perform on instruments including the saxophone and the trombone.	2
The woman is swimming in the ocean.	A woman in a gray sweatshirt is sitting on the floor with her small dog that is wrapped in a blanket.	2
Two men in blue suits are selling bikes and mopeds.	Two men sitting in a living room, one wearing cultural clothing and another in a white shirt and shorts, contemplating on their bike and moped.	2
Three women ride bikes through the park.	Three men sitting in a room looking at their one motorbike and one pedal bike.	2
A chef is cooking stew.	The man in the sailor suit is holding literature.	2
boy watches movie at home	A man in a jean jacket is reaching into a bag and walking past two women.	2
A man is sleeping on the floor.	A man balances a unicycle using his face and both hands.	2
A woman drinks from a mason jar.	A man holding a pink cooler is talking to an older woman.	2
Group of people at the beach enjoying a hot sunny day.	Group of people standing on a snow covered ground, some are holding brooms, there is a dog with the group.	2
A child runs and screams violently in around the train.	A kid bored in a train with brown hair and his head lying down.	2
The person is going for a run	A person sitting on a rock beside a waterfall.	2
The woman is not going to finish the race.	A woman finishing a marathon race.	2
Two men fighting over ice cream.	Two men shining peoples shoes.	2
A woman examines a bike	A man examines a bike during a yard sale.	2
The man is old.	"A young man is standing near his bike outside a shop called, ""Sara's Old Fashioned Ice Cream."""	2
A man is running on foot	A man in a gray shirt and blue shorts is standing outside of an old fashioned ice cream shop named Sara's Old Fashioned Ice Cream, holding his bike up, with a wood like table, chairs, benches in front of him.	2
Some men are watching TV together.	Two men work outside polishing shoes.	2
A girl is at the beach.	A girl making a snow angel, wearing a black hat and glasses.	2
Sandwiches nailed to the wall were commonly mistaken as pictures by the visiting tourists.	An elderly couple in heavy coats are looking at black and white photos displayed on a wall.	2
A woman is climbing stairs	A shirtless man rock climbs.	2
The dog jumped over the steps.	A skateboarder sails over white steps.	2
