index	premise	hypothesis	label	hypothesis_paraphrase
2773	People landscaping and gardening the areas around the walkway.	People are caring for their lawns	0	People are taking care of their lawns.
2774	People landscaping and gardening the areas around the walkway.	People are planting daisies	1	Daisy seedlings are being planted.
2775	A blond woman in a blue shirt looks on at an event.	The woman is naturally blonde.	1	The woman has a naturally light complexion.
2776	A man is wearing a blue and yellow racing uniform while holding a bottle	this guy is wearing a racing uniform while holding a bottle	0	This individual is dressed in a racing uniform and is holding a bottle.
2777	A man is wearing a blue and yellow racing uniform while holding a bottle	this guy is wearing a racing uniform while holding a bottle of punch	1	This individual is dressed in a racing uniform and is holding a bottle of punch.
2778	A happy woman who is preparing for dinner.	A sad woman is watching TV.	2	A depressed woman is watching television.
2779	A happy woman who is preparing for dinner.	A woman is cooking dinner for the guests.	1	A woman is preparing dinner for the visitors.
2780	A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.	A child wearing a red top is standing on top of a blond headed child	2	A child in a red top stands on top of a child with blond hair.
2781	A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.	A child wearing a red top is standing behind a pretty blond headed child	1	A child in a red top stands behind a lovely blond-haired child.
2782	A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.	A lady sitting on a bench in the park.	2	A lady sitting on a park bench.
2783	A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.	A person outside pushing a stroller.	0	A person pushing a stroller outside.
2784	A dog jumping for a Frisbee in the snow.	A pet is enjoying a game of fetch with his owner.	1	A pet and his owner are having fun playing fetch.
2785	Two people connected to ropes wearing bright orange helmets are sitting on a rocky crag high in the mountains.	People rock climb with rope.	0	Rope is used for rock climbing.
2786	Two people connected to ropes wearing bright orange helmets are sitting on a rocky crag high in the mountains.	Some people go on an adventure.	1	Some people embark on a journey.
2787	A woman lowering ballast on a boat.	The woman is on an airplane.	2	The lady is flying on an airplane.
2788	A woman lowering ballast on a boat.	The captain of the boat is preparing for rough waters.	1	The boat's captain is preparing for rough seas.
2789	Two hikers are backpacking up a snow slope.	Two people are cold hiking with their backpacks up a snowy slope.	1	Two people are hiking up a snowy slope with their backpacks in the cold.
2790	A lady with blue jeans and a brown shirt is speaking on her cellphone on the second floor of the mall.	the lady is talking on her phne	0	The lady is on her phone.
2791	A man, with a full face mask, sits on a sidewalk playing the guitar.	The man's mask is a clown face	1	The man's mask resembles a clown's face.
2792	In front is a guy singing and playing guitar and a white shirted drummer in the back.	There are people making music.	0	There are people who make music.
2793	a dog about to jump to catch a Frisbee	The dog is going to catch a baseball.	2	A baseball will be caught by the dog.
2794	A woman in orange sunglasses is playing the drums while speaking into a microphone in front of a large sign.	A woman is yelling at a crowd and they cannot hear her because she has no microphone.	2	A woman is yelling at a crowd, but no one can hear her because she doesn't have a microphone.
2795	A girl wearing a knit cap, gloves, winter jacket, snow pants and boots stands by a frozen waterfall, with a metal pole by her side.	A boy is near a waterfall.	2	A young boy is standing near a waterfall.
2796	A Young girl wearing a blue ski cap and red and gray two tone jacket stands between two bits of ice.	A girl is standing in a winter landscape.	0	A young woman stands in a snowy landscape.
2797	A woman plays guitar for tips.	music can be learn by litsen	2	Litsen can learn music.
2798	A woman plays guitar for tips.	lessons are there to learn	1	There are lessons to be learned.
2799	a woman and a child both wearing red outfits walking up a street	A mother and child walking up a street	1	A mother and her child strolling up a street
2800	A boy in an all blue uniform kicks a blue soccer ball in a grassy area.	A boy is playing with a squirt gun.	2	A young boy is having fun with a squirt gun.
2801	A dog and a cat are swimming in a swimming pool.	A dog and cat are drowning in the pool/	2	In the pool, a dog and a cat are drowning.
2802	Two women wearing aprons and hairnets look at each other while they reach into metal canisters.	Two women are running a kitchen.	1	A kitchen is run by two women.
2803	A group of women and men are in the water wit their clothes on.	The group of people are swimming in the water.	1	The people in the water are swimming in a group.
2805	The person is fishing, with waves splashing around him.	The person is sitting at home watching television.	2	The individual is at home, watching television.
2806	Two boys with blond-hair, wearing striped shirts on a bed.	Two children sleeping in a bedroom.	1	Two children are sleeping in the same room.
2807	Two boys with blond-hair, wearing striped shirts on a bed.	Children playing in the park.	2	Children enjoying themselves in the park.
2810	Two girls in black dresses enjoying a night on the town.	Two young girls enjoying a night on the town.	1	Two young ladies enjoy a night out on the town.
2811	Three young girls and a baby are sitting in the grass on a blue blanket with baby toys scattered on it.	Four sisters play with each other.	1	Four sisters interact with one another.
2812	A boy wearing a yellow shirt, khaki pants, and blue and yellow shoes is hitting a tennis ball off a wall with a tennis racket.	A child is getting ready for his junior athletic league tennis tournament.	1	A youngster is preparing for a junior athletic league tennis tournament.
2813	A boy in an all blue uniform kicks a blue soccer ball in a grassy area.	A boy is playing with the other children.	1	A boy is having fun with the other kids.
2814	A boy in an all blue uniform kicks a blue soccer ball in a grassy area.	A boy is playing in the grass.	0	A young boy is having fun in the grass.
2815	A cheerleader in a tight red and white uniform is passing out white t-shirts at a sporting event.	A cheerleader passes out shirts	0	A cheerleader distributes t-shirts.
2816	A cheerleader in a tight red and white uniform is passing out white t-shirts at a sporting event.	A player passes out hotdogs	2	A player distributes hotdogs.
2817	A cheerleader in a tight red and white uniform is passing out white t-shirts at a sporting event.	A cheerleader passes out team shirts	1	A cheerleader distributes team t-shirts.
2818	Crowd cheerleaders dressed in red, white, and blue smile as they pass out rolled up t-shirts to a full stadium of people.	Players pass out footballs to the crowd	2	Footballs are distributed to the crowd by players.
2819	Crowd cheerleaders dressed in red, white, and blue smile as they pass out rolled up t-shirts to a full stadium of people.	Cheerleaders pass out rolled up t shirts	0	Cheerleaders distribute rolled-up t-shirts.
2820	People landscaping and gardening the areas around the walkway.	People are planting in their homes.	2	Planting is taking place in people's homes.
2821	two men play basketball.	Two men are playing sports	0	Two men are participating in sports.
2822	two men play basketball.	Two friends are eating lunch	2	Lunch is being eaten by two friends.
2823	women's soccer team competing on the field.	The women are winning the soccer game.	1	The soccer game is being won by the women.
2824	Kids play in the water in the middle of the street.	Kids are playing in the water.	0	Children are having fun in the water.
2825	A large crowd is gathered outside and one woman is yelling.	A woman yells while a groups of people gathers.	0	A woman yells as a crowd gathers around her.
2826	Lot of people are gathered in front of a building.	People stand outside of the building, awaiting the all clear after a fire drill.	1	People wait outside the building for the all-clear following a fire drill.
2827	Lot of people are gathered in front of a building.	People walk back inside the building.	2	People return to the building.
2828	An medical worker examines a young girl.	A health worker is evaluating a girl.	0	A health worker is assessing a young lady.
2829	An medical worker examines a young girl.	A health worker is evaluating the health of a young boy.	2	A health worker examines a young boy's health.
2831	Soccer players are playing a night game and the ball is in the air, while the two teams fight for it.	The sun was shining during the soccer match.	2	During the soccer game, the sun shone brightly.
2832	Soccer players are playing a night game and the ball is in the air, while the two teams fight for it.	The soccer game is being played at night.	0	The soccer match is taking place at night.
2833	Soccer players are playing a night game and the ball is in the air, while the two teams fight for it.	The opposing team is winning the evening soccer match.	1	The opposing team has won the evening soccer game.
2834	A woman wearing very formal colorful clothing and she seems to be dancing.	A sad woman wearing very formal colorful clothing and she seems to be dancing.	1	A depressed woman dressed in formal, colorful attire appears to be dancing.
2835	The girl wearing a brown jacket whilst walking in snow.	The girl is walking outside.	0	The girl is going for a walk outside.
2836	A man, woman, and child get their picture taken in front of the mountains.	A family on vacation is posing.	0	A vacationing family is posing.
2837	people are standing near water with a boat heading their direction	People are standing near water with a large blue boat heading their direction.	1	A large blue boat is heading in the direction of the people who are standing near the water.
2838	Four adults eat while sitting on a tile floor.	Two couples eat food on a kitchen floor.	1	Two couples eat their meals on the kitchen floor.
2839	An older man leans against a pedestal outside of an ornate building.	An older man is leaning outside his nursing home	1	An elderly man leans against the wall of his nursing home.
2840	A soccer team is standing on the field waiting for their time to make a move.	People are playing sports outside.	0	Outside, people are participating in sports.
2841	Several men helping each other pull in a fishing net.	There is one man holding the net.	2	The net is being held by one man.
2842	A group of people traveling in a small wooden boat.	A group of people waiting for a larger boat.	2	A crowd of people waits for a bigger boat.
2843	a dog jumps over the pole.	dog is jumping over a pole	0	A dog is leaping over a pole.
2844	a dog jumps over the pole.	Dog is participating in a competition, showing his agility training.	1	The dog is competing in an agility competition, displaying his agility training.
2849	A group of people are standing on steps in front of a building.	A group of people are standing in front of a building.	0	A crowd has gathered in front of a building.
2850	A painter with a gray t-shirt and tatted arm sketches a mural with extreme precision and focus.	A painter is doing a watercolor painting.	1	A watercolor painting is being created by a painter.
2851	A man is spinning a little girl in the air above his head.	A man is playing Monopoly with a little girl.	2	A man and a young girl are playing Monopoly.
2852	As a crowd looks on, a player in a white uniform, wearing only one colorful sock, makes a diving catch for the frisbee.	A player makes a diving catch	0	A diving catch is made by a player.
2853	As a crowd looks on, a player in a white uniform, wearing only one colorful sock, makes a diving catch for the frisbee.	A player makes the game winning catch	1	A game-winning catch is made by a player.
2854	A man on a sidewalk is playing the accordion while happy people pass by.	A homeless street musician tries to earn enough to money to survive	1	A homeless street musician tries to make enough money to live on.
2855	A group of people examine a boat with an orange flag that is sitting on sand next to a body of water.	People sit on a beach to tan.	1	People tan on the beach.
2856	Three people sitting on a table, one woman is speaking, and people are listening to them.	Two people are listening to the other person on the table speak.	0	Two people are paying attention to the other person at the table who is speaking.
2857	Three people sitting on a table, one woman is speaking, and people are listening to them.	There are three women sitting on a table.	1	Three women are seated at a table.
2858	A child hugs a birdhouse.	An insane child hugs a birdhouse.	1	A deranged child clings to a birdhouse.
2860	A juggler wearing a plaid kilt and a green shirt, juggling.	A person juggles balls in a kilt.	1	In a kilt, a man juggles balls.
2861	A man in a green shirt and a red kilt is juggling three clubs.	A man in a shirt juggles thee clubs and an apple.	1	A shirtless man juggles three clubs and an apple.
2862	Am man riding a very tall bicycle down the street, past a large brick building.	A man rides a bike outside.	0	Outside, a man rides his bike.
2863	A boy in a red jacket and balck hat sliding on his knees down a snowy hill	A child is playing outside.	0	A child is outside having fun.
2864	A musician playing his violin.	A person is playing an instrument.	0	A person is making music with an instrument.
2865	People are coming down a movable staircase built through a tunnel, which has three of those staircases.	Workers are returning from inspection.	1	Workers are on their way back from an inspection.
2866	People are coming down a movable staircase built through a tunnel, which has three of those staircases.	People are climbing a mountain.	2	A group of people is climbing a mountain.
2867	A gymnast using a set of paralleled bars.	A young gymnast is performing.	1	A young gymnast is on stage.
2868	A group of children playing with props	The children are in a play.	1	The children are engrossed in a game.
2869	A group of children playing with props	The children are playing with machine guns.	1	The kids are having fun with machine guns.
2870	A young woman in a black skirt and boots walks by stores.	A young woman is on a shopping trip.	1	A young woman is out shopping.
2871	A boy and girl play together on a pile or rocks in a residential area.	The boy and girl are inside	2	Inside are the boy and girl.
2872	A boy and girl play together on a pile or rocks in a residential area.	The boy and girl are playing together	0	The boy and girl are having a good time together.
2873	A man shoveling snow off the roof of a building.	A young man working in the snow.	1	A young man shoveling snow.
2874	A man shoveling snow off the roof of a building.	A young woman working in the snow.	2	A young woman shoveling snow.
2875	children are sitting in chairs with a music stand in the background.	Children are running outside, competing in a race.	2	Children are competing in a race outside.
2876	children are sitting in chairs with a music stand in the background.	Children are having fun at Tommy's birthday party.	1	Tommy's birthday party is a hit with the kids.
2877	A black and white bird with a yellow beak is flying.	worm crawling along sidewalk	2	crawling worm on the sidewalk
2878	A black and white bird with a yellow beak is flying.	Flying black and white bird	0	A black and white bird flies through the sky.
2879	A black and white bird with a yellow beak is flying.	Bird flying outside against the sky	1	Outside, a bird flies against the sky.
2880	A person in a yellow helmet rock climbing while another person waits on the ground with the tether.	The helmet has a stripe on it.	1	There is a stripe on the helmet.
2881	Two Asian people cooking on a grill in a park.	The couple are cooking in there home kitchen.	2	The couple is preparing a meal in their home kitchen.
2882	Two Asian people cooking on a grill in a park.	A couple are having a picnic in a park.	1	In a park, a couple is having a picnic.
2883	A group of children looking at the contents of a slide through a microscope displayed on a computer screen.	The children are looking through a microscope.	0	The kids are peering through a microscope.
2884	A group of children looking at the contents of a slide through a microscope displayed on a computer screen.	The kids are looking through a telescope.	2	The children are peering through a telescope.
2885	A man in a mask in the back of a service vehicle.	A woman is showing her head while riding on a horse	2	A woman is riding a horse and displaying her head.
2886	A horse has fallen down on the green grass and the jockey riding on top is trying his hardest to not fall off.	The horse tripped on a rock.	1	The horse stumbled over a rock.
2887	A person with an orange shovel is shoveling snow.	The person is clearing their snowed up driveway	1	The individual is removing snow from their snow-covered driveway.
2888	A person with an orange shovel is shoveling snow.	The rain is pouring in the desert	2	In the desert, it is pouring.
2889	Workers wearing orange vests stand near rail tracks.	Workers are standing outside.	0	Workers are gathered outside.
2890	A motorcyclist is flying through the air above a dirt path.	The motorcyclist is in the air	0	The motorcyclist is flying through the air.
2891	Many people who appear to be Asian stand in line at a train station waiting patiently for the next train.	the people are running through fire	2	People are fleeing from a raging inferno.
2892	The child is hanging upside down with his legs over a pole.	There is an adult upside down.	2	There's an adult on the wrong side of the bed.
2893	A man in a pink shirt and white vest plays a guitar.	There is a man that is good at music.	1	There is a man who is talented in music.
2894	Two men in polo shirts, reading the paper.	Two men argue with each other.	2	Two men are arguing with one another.
2895	A man in a purple jersey is falling down while chasing a player in a green jersey playing soccer	The soccer players compete in the championship	1	The championship is contested by soccer players.
2898	people looking at dirty water.	People are looking at water.	0	People are staring at the water.
2899	people looking at dirty water.	A mountain is full of snow.	2	A mountain is covered in snow.
2900	A woman wearing very formal colorful clothing and she seems to be dancing.	A man wearing very formal colorful clothing and she seems to be dancing.	2	A man dressed in formal, colorful attire, and a woman who appears to be dancing.
2901	A woman wearing very formal colorful clothing and she seems to be dancing.	A person wearing very formal colorful clothing and she seems to be dancing.	0	A woman dressed in formal, colorful attire who appears to be dancing.
2902	People standing with their bicycles.	The bicycles are besides the people.	0	The bicycles are parked next to the people.
2903	A man with glasses wearing a tuxedo and corsage stands near a man in a suit at a formal event.	Two men standing together are dressed up.	0	Two dressed-up men stand together.
2904	A man with glasses wearing a tuxedo and corsage stands near a man in a suit at a formal event.	The two men are at a wedding.	1	The two gentlemen are attending a wedding.
2905	Elderly woman in blue apron balances a basket on her head on a sidewalk while talking to a woman dressed in black.	The woman balancing a basket on her head is heading to her neighbors house.	1	The woman carrying a basket on her head is on her way to her next-door neighbor's house.
2906	Elderly woman in blue apron balances a basket on her head on a sidewalk while talking to a woman dressed in black.	Elderly woman is balancing something on her head while having a conversation.	0	While conversing, an elderly woman balances something on her head.
2907	Blond woman overlooking Seattle Space Needle scene.	A tourist checking out Seattle.	1	A tourist exploring Seattle.
2908	The soccer team, clad in blue for the match, began to counter down the field in front of the defender, clad in red.	The soccer team in blue plays soccer.	0	The blue soccer team plays soccer.
2909	The soccer team, clad in blue for the match, began to counter down the field in front of the defender, clad in red.	The blue soccer team is playing its first game of the season.	1	The blue soccer team is in action for the first time this season.
2911	Woman smiling while holding a book and yellow paper star.	the woman holding book with smiling in the home	1	the woman in the house holding a book and smiling
2912	A young girl wearing a red shirt and cap smiling and holding a small toy is standing in front of a group of children playing behind her.	The young girl is wearing a red shirt.	0	The young lady is dressed in a red shirt.
2915	A young girl in a yellow top and a flowered skirt is standing on a blanket and biting on a toy.	A girl is standing outside.	1	A young lady is standing outside.
2916	many children play in the water.	Some kids splash in the water and interact with each other.	1	Some children play in the water and interact with one another.
2917	many children play in the water.	The children are playing mini golf.	2	The kids are having fun playing mini golf.
2918	A group of kids is splashing in deep water nearby a rock formation.	The kids are singing in a choir	2	The children are members of a choir.
2919	A group of kids is splashing in deep water nearby a rock formation.	The kids are in deep water	0	The children are in waist-high water.
2920	A little baby wearing a blue outfit is grabbing some fruit.	A little baby is having lunch.	1	Lunch is being served to a small baby.
2921	A woman is applying lip makeup to another woman who seems to have some green in her hair.	The girl is getting made up	0	The girl is putting on make-up.
2922	Woman wearing an orange scarf holding a cellphone.	A woman is holding a cellphone.	0	A woman is clutching her cellphone.
2923	Woman wearing an orange scarf holding a cellphone.	A woman wearing a blue scarf is working at a factory.	2	A woman in a blue scarf works in a factory.
2924	Woman wearing an orange scarf holding a cellphone.	A woman is calling her daughter.	1	A woman is dialing her daughter's number.
2925	A man wearing a blue shirt and headphones around his neck raises his arm.	The man has a two boomboxes on his shoulders.	2	Two boomboxes are balanced on the man's shoulders.
2926	A red truck is parked next to a burning blue building while a man in a green vest runs toward it.	The burning blue building smells of smoke	0	Smoke wafts from the burning blue building.
2927	A red truck is parked next to a burning blue building while a man in a green vest runs toward it.	The red truck is a fire truck.	1	The red vehicle is a fire engine.
2928	Two belly dancers perform with each other in the streets while passersby look on and watch the display.	Two dancers are making money	1	Two dancers are earning a living.
2929	A woman looks at a plate filled with steam.	The woman is cooking something exciting.	1	The woman is preparing something exciting to eat.
2930	Two men sitting in a living room, one wearing cultural clothing and another in a white shirt and shorts, contemplating on their bike and moped.	Two men dressing in different types of clothing are comparing their bike and moped.	0	Two men dressed in different outfits compare their bikes and mopeds.
2931	Three men sitting in a room looking at their one motorbike and one pedal bike.	Men prepare to fix their damaged bikes.	1	Men get ready to repair their damaged bikes.
2932	Two boys running down a outer hallway of an apartment building, with one running into frame with the other running ahead down the hall.	Two boys are moving at high speed.	0	Two boys are running at full speed.
2933	The man in the sailor suit is holding literature.	A man is sitting in his sailor suit.	1	A man in a sailor suit is sitting.
2934	The man in the sailor suit is holding literature.	A man is holding literature.	0	A man is holding a book.
2935	Picture of two men playing in a band, one playing the drums and one playing a xylophone type of instrument, in a dark room with two unrecognizable people watching in the background.	People are making music together.	0	People are collaborating to make music.
2936	Picture of two men playing in a band, one playing the drums and one playing a xylophone type of instrument, in a dark room with two unrecognizable people watching in the background.	A band is auditioning for the owners of a nightclub.	1	A nightclub's owners are auditioning a band.
2937	Adults and children share in the looking at something, and some young ladies stand to the side.	Some children are looking while some ladies stand	0	Some children are watching, while some ladies are standing.
2938	Adults and children share in the looking at something, and some young ladies stand to the side.	Some children are sleeping	2	Some of the children are sleeping.
2939	Very young boy is standing outside near a water fountain that is built into the ground and is squirting water.	The water sprays on the boy.	1	The boy is sprayed with water.
2940	A man sits at a table in a room.	A man sits and waits for someone.	1	A man sits in a chair, waiting for someone.
2941	A young man in a backwards baseball cap balances his skateboard on the edge of the concrete.	The man breaks his skateboard	2	The man shatters his skateboard.
2942	A young man in a backwards baseball cap balances his skateboard on the edge of the concrete.	The man has a colorful skateboard	1	The man is riding a brightly colored skateboard.
2943	A mechanic for a race car team is working on the wheels of a race car.	The car took a pit stop with just a few laps to go.	1	With only a few laps remaining, the car pitted.
2944	A mechanic for a race car team is working on the wheels of a race car.	The motorcycle pulled over because it was out of fuel.	2	The motorcycle came to a halt because it ran out of gas.
2945	A brown dog wearing a collar is chasing and biting on a red broom.	There is an animal biting a broom.	0	A broom is being bitten by an animal.
2946	Two men in black pants and black shirts practice martial arts on a green gym floor.	Two men practicing martial arts.	0	Two men engaged in martial arts training.
2947	Two men in black pants and black shirts practice martial arts on a green gym floor.	Two persons playing tennis.	2	Two people are playing tennis.
2948	A man in a jacket is standing in a gas station, next to a car and lights are shining in the distance.	A man is refuelling his car.	1	A man is filling up his car with gas.
2949	An elderly lady holding a scruffy dog and smiling contently.	a woman holding her scruffy dog	0	a woman with her unkempt dog
2950	Male in a blue jacket decides to lay in the grass.	The guy wearing a blue jacket is laying on the green grass taking a nap.	1	The man in the blue jacket is snoozing on the green grass.
2951	During calf roping a cowboy calls off his horse.	A first time roper falls off his horse.	1	A first-time roper is thrown from his horse.
2952	During calf roping a cowboy calls off his horse.	A man ropes a calf successfully.	2	A man successfully ropes a calf.
2953	A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.	The boy is playing on the swings after school.	1	After school, the boy is swinging on the swings.
2954	A woman wearing a ball cap squats down to touch the cracked earth.	An archeologist wearing a hat squats to examine the site for a dig	1	An archeologist in a hat squats to inspect the dig site.
2955	A solo cyclist is riding down a windy road.	The cyclist falls down the windy road	1	The cyclist crashes down the winding road.
2956	A solo cyclist is riding down a windy road.	A cyclist rides down a road	0	A cyclist is riding down a road.
2957	An Asian technology demonstration of computers and other gadgets.	The Asian likes Mexican food.	2	The Asian enjoys Mexican cuisine.
2958	A black and white dog jumps for a tennis ball.	A border collie is jumping to catching a toy.	1	A border collie leaps to catch a toy.
2959	A group of people having a conversation.	Multiple people talk to each other.	0	Several people converse with one another.
2960	A woman floats in an innertube in a large body of water.	The woman is in the ocean.	1	The woman is swimming in the sea.
2961	A woman floats in an innertube in a large body of water.	The woman is sitting at home.	2	The woman is sitting in her living room.
2962	A white greyhound dog wearing a muzzle runs around a track.	The dog is not wearing a muzzle.	2	The dog does not have a muzzle on.
2963	A white greyhound dog wearing a muzzle runs around a track.	The dog is racing other dogs.	0	The dog is competing in a dog race with other dogs.
2964	A young boy learns how to ride a horse	The ginger-haired kid holds the pony's reins.	1	The pony's reins are held by the ginger-haired child.
2965	Multiple men fill the scene, one in a white button up shirt using his cellphone, the others wearing pink, orange, and green shirts engaged in various activities in the background.	The men are wearing several different coloured shits.	0	The men are dressed in a variety of colored shits.
2966	A woman in a bright pink and green skirt carries a large wicker basket on her back up a stone-cobbled street.	The woman is carrying a basket down the street.	0	The woman is walking down the street with a basket.
2967	A woman in a bright pink and green skirt carries a large wicker basket on her back up a stone-cobbled street.	The woman is playing soccer in the cobble stone streets of Brazil.	2	The woman is playing soccer in Brazil's cobblestone streets.
2968	A woman in a bright pink and green skirt carries a large wicker basket on her back up a stone-cobbled street.	The woman is carrying a basket down the street in Nepal.	1	In Nepal, a woman walks down the street with a basket.
2969	A big dog and a smaller dog fight over a piece of fabric.	Two dogs fighting over a piece of fabric	0	Two dogs squabbling over a swatch of fabric
2970	A man and a child are purchasing ice cream from a man with a hand pushed ice cream cart.	A father is buying his daughter ice cream.	1	A father buys ice cream for his daughter.
2971	A man and a child are purchasing ice cream from a man with a hand pushed ice cream cart.	People are buying food from a street vendor.	0	A street vendor is selling food to people.
2972	Three men are carrying a red bag into a boat with another person and boat in the background.	Some sailors get in a sailboat.	1	A few sailors board a sailboat.
2973	Three men are carrying a red bag into a boat with another person and boat in the background.	A person drives away in a winnebago.	2	A winnebago is being driven away.
2974	Villagers pulling in the fish boat.	The villagers are sitting around the camp fire.	2	The villagers are gathered around a campfire.
2975	A person crossing a bridge with train tracks.	A person jumped off the side of the bridge.	2	Someone jumped from the bridge's edge.
2976	A man in a black business suit stands upright next to a man wearing blue and leaning against a railing.	The man in blue is Batman and the man in black is Jonny Cash.	2	Jonny Cash is the man in black, and Batman is the man in blue.
2977	A group of three people and one dog hike up a green mountainside.	Some people are exercising outside.	0	Some people are working out outside.
2978	A group of three people and one dog hike up a green mountainside.	People are racing up a hill.	1	A group of people is racing up a hill.
2979	A group of three people and one dog hike up a green mountainside.	People are having a picnic.	2	A picnic is being held.
2980	Two male soccer players on opposing teams are trying to get the soccer ball.	Two women compete in a tennis match.	2	A tennis match between two women is taking place.
2981	Two male soccer players on opposing teams are trying to get the soccer ball.	Two soccer players fight after the ball until one gets a penalty.	1	Two soccer players compete for the ball until one is penalized.
2982	A man with black clothing is sweeping steps with a broom.	The man is the janitor for the building.	1	The man works as the building's janitor.
2983	A man with black clothing is sweeping steps with a broom.	The man is sweeping the steps.	0	The man is cleaning the stairwell.
2984	A man with black clothing is sweeping steps with a broom.	The man has white clothing.	2	The man is dressed in white.
2985	A man wearing a graduation cap, a suit, and an orange shawl walks in front of city shops.	A man wearing strange clothing is being stared at by shoppers.	1	Shoppers are staring at a man wearing unusual clothing.
2986	3 girls chatting and laughing on the stairwell.	Girls are not having a good time.	2	The girls are having a bad time.
2987	Shipyard workers are standing around.	Shipyard workers are unloading the ships	2	The ships are being unloaded by shipyard workers.
2989	A lady wearing a straw hat and gold hoop earrings is pointing a finger.	A woman points at the man she is talking about.	1	A woman points to the man she is referring to.
2990	little girl posing for a picture.	The boy is posing for a picture.	2	The youngster is posing for a photograph.
2991	little girl posing for a picture.	The child is getting her school pictures taken.	1	The child is having her school photographs taken.
2992	A couple look into the camera as the foreground is filled with balloons.	The couple is celebrating an important event.	1	The couple is commemorating a significant occasion.
2993	Fireworks light up the night as a man stands on stage.	The man is studying quietly in the house.	2	In the house, the man is quietly studying.
2994	Fireworks light up the night as a man stands on stage.	The man is throwing a concert outside	1	Outside, the man is holding a concert.
2995	A child is thrown by a man in the swimming pool.	A child is tosses into a box by a woman.	2	A woman throws a child into a box.
2996	Two girls in a crowd are dressed up, one as the cartoon character Wall-E.	Two girls cosplay at a convention.	1	Two female cosplayers attend a convention.
2997	Two girls in a crowd are dressed up, one as the cartoon character Wall-E.	A few girls cosplay at a local event.	1	A few female cosplayers attend a local event.
2998	Two girls in a crowd are dressed up, one as the cartoon character Wall-E.	Two girls attend a convention.	1	Two young ladies attend a convention.
2999	An Asian woman in a purple shirt preparing a bowl of food for the younger Asian boy sitting near buy, while an Asian man eats a roll and prepares to take some food up with his chopsticks.	A woman is doing the dishes.	2	A lady is washing the dishes.
3000	Three people are riding a carriage pulled by four horses.	The oxen are pulling the carriage.	2	The carriage is being pulled by oxen.
3001	Black and yellow teams are trying to get the basketball in the goal.	The two teams are both wearing white sneakers.	1	Both teams are dressed in white sneakers.
3002	Black and yellow teams are trying to get the basketball in the goal.	Red, and green teams are trying to get a soccer ball into a goal.	2	The red and green teams are competing to get the soccer ball into the goal.
3003	Black and yellow teams are trying to get the basketball in the goal.	Two teams are playing a sport.	0	A sport is being played by two teams.
3004	People are coming down a movable staircase built through a tunnel, which has three of those staircases.	People are descending in a tunnel.	0	A tunnel is being used to transport people.
3005	A man in a red shirt and a man in a brown shirt smiling at the camera and holding up a sign.	Two men are throwing rocks at policemen.	2	Two men are hurling rocks at police officers.
3006	A man in a white shirt and gray slack hitting a golf ball on a golf course, with trees and power lines in the background.	A man is hitting a golf ball.	0	A man is swinging a golf club.
3007	A man in a white shirt and gray slack hitting a golf ball on a golf course, with trees and power lines in the background.	The man is playing tennis.	2	The man is engaged in a game of tennis.
3008	A man in green pants and blue shirt pushing a cart.	An old man pushing a cart.	1	An elderly man is pushing a cart.
3009	A man in green pants and blue shirt pushing a cart.	There is a man wearing cloths.	0	There is a man dressed in clothes.
3010	Two small boys in blue soccer uniforms use a wooden set of steps to wash their hands in an adult-sized bathroom.	The boys just won their soccer game	1	The boys have just won a soccer game.
3011	Two small boys in blue soccer uniforms use a wooden set of steps to wash their hands in an adult-sized bathroom.	Two boys washing their hands	0	Two young boys wash their hands
3012	A naked man rides a bike.	A man in a suit walking on a sidewalk.	2	A man in a suit walks down the street.
3013	A naked man rides a bike.	A naked red haired man on a bike on a busy street.	1	A naked redhead man riding a bike down a busy street.
3014	Two men wearing dirty clothing are sitting on a sidewalk with their dog and begging for money using a cardboard sign.	Two men sit outdoors in an urban area.	0	In an urban setting, two men sit outside.
3015	An elderly women is sitting in a chair on one side of a room with a group of musicians, including a cellist and guitar player, and on the other side of the room, a group of people are sitting on chairs.	The woman is in her teens.	2	The lady is in her twenties.
3016	A large number of people are watching men dressed in kilts, one of whom has thrown a long pole.	people celebrate st paddys day	1	St. Patrick's Day is observed by many people.
3017	Kids out in front of a building doing sightseeing.	The kids are in a classroom	2	The children are in a classroom.
3018	Kids out in front of a building doing sightseeing.	The kids are on a fieldtrip	1	The children are on a field trip.
3019	A woman is lying on her stomach on a white pillow and crying.	A woman cries because her husband left.	1	A woman sobs because her husband has left her.
3020	A man is riding a bicycle in the street.	a man is suntanning on a cave	2	A man is sunbathing on the roof of a cave.
3021	A man is riding a bicycle in the street.	the man is chasing after his daughter	1	The man is on the lookout for his daughter.
3022	A guy on Rollerblades, sliding across a rail.	The rollderblader is using the rail.	0	The rail is being used by the rollderblader.
3023	A guy on Rollerblades, sliding across a rail.	The skateboarder rides the rail.	0	The skateboarder glides along the rail.
3024	A young boy plays on a pile of rocks.	A girl is having a tea party in her room.	2	In her room, a young lady is having a tea party.
