index	premise	hypothesis	label	originated_idx
1283	A group of sad soldiers march in a parade.	A group of dogs march in a parade.	3	3357|3356
1284	Children are welcoming home soldiers	Children are burning flags in protest.	3	5177|5176
1285	The men just met today.	The men are at the mal.	3	6685|6686
1286	The people are tourists.	The people are taking a science test.	3	5209|5210
1287	The sun sets as a group of skiers finish a race.	A man and a woman ride their bikes down a hill.	3	7672|7670
1288	A naked red haired man on a bike on a busy street.	A man in a suit walking on a sidewalk.	3	632|631
1289	An old Asian man riding a baby elephant.	A man sitting on a camel.	3	9382|9381
1290	A rabid sports fan cheers for his team.	A fully dressed man holds a sign.	3	5732|5733
1291	The woman is wearing a skirt.	The woman is blonde.	3	9223|9224
1292	A police officer is wearing a large helmet.	A police officer is silent.	3	6487|6488
1293	A woman is talking to her boyfriend on the phone.	A woman is running on the track.	3	7255|7254
1294	Two kids happily jiving on the dance floor.	Two kids playing on the playground.	3	9220|9221
1295	The man has a colorful skateboard	The man breaks his skateboard	3	3055|3053
1296	A man has on climbing gear.	A man is swimming in the ocean.	3	503|504
1297	A man is smoking a cigar.	A woman is sitting in a restaurant.	3	3395|3394
1298	A husband and wife look at their hands	Two men look at each others hands	3	6760|6761
1299	a person walking in a tunnel is lost	a person sitting on a bench	3	7593|7595
1300	Tall firemen stand outside of their firetruck with all its lights on.	Policemen stand outside of their firetruck with all its lights on.	3	4867|4868
1301	A girl is enjoying food at a Mexican festival with friends	Cats enjoy taco	3	7260|7261
1302	a guy paddles for his wife	two men bellydance	3	2710|2708
1303	The crowd is all men	People are looking inside	3	2386|2384
1304	There are professional riders at a ceremony.	The men are driving their motorcycles.	3	3639|3640
1305	Traffic is stopped at a red light.	Traffic drives through the crosswalk.	3	8722|8721
1306	The man is test driving a motorcycle to decide whether or not he will buy it.	A man is sitting on a parked motorcycle waiting for his friend.	3	132|134
1307	A woman and man are checking their bingo cards to see if they won	A young woman and old man are playing poker.	3	6932|6930
1308	a boy holding onto the wall of an old brick house's raised foundation as construction occurs	a girl is leaning against the wall	3	177|178
1309	Two trains of different sizes but following each other side by side going to opposing directions.	The man is running the train into another train.	3	8481|8480
1310	Couple go out for their first surfing session as a couple.	Couple going fishing.	3	2858|2860
1311	The man is looking to sell things.	A woman stands on a street corner.	3	9747|9748
1312	The guy is looking for a job.	The gentleman is standing by the table.	3	8984|8985
1313	A young girl in the kitchen makes spicy omelets.	A young girl cooks pancakes.	3	9390|9389
1314	A couple ride their bikes on a date.	A couple gets married at the courthouse.	3	4537|4536
1315	A man is twisting a balloon into the shape of a dog.	The children are sad as the man ignores them	3	8285|8284
1316	Some children are playing soccer by a school.	Men are playing basketball.	3	2880|2878
1317	A young girl celebrates the 4th of July by holding two flags.	A young girl with glasses holds two ice cream cones.	3	2374|2373
1318	A doctor is studying	A man is eating pb and j	3	20|19
1319	The men are laughing about the us losing the cold war.	Two women with leg hair share a laugh while enjoying the nice weather.	3	5866|5867
1320	The morning rush hour fills the streets with busy people.	The street is quiet and calm.	3	691|690
1321	The young woman is enjoying the sun	The young woman is sitting on a bench in the rain.	3	4637|4638
1322	A woman is taking a picture with an older woman.	A man is running errands on his bike.	3	7755|7756
1323	Tall humans looking.	Nobody is looking	3	2910|2909
1324	A man is a good skateboarder	A woman is running	3	7722|7724
1325	A mother dog checking up on her baby puppy.	Two cats standing together, one is big and the other is small.	3	1180|1178
1326	The girls are showing their mother the presents the Easter Bunny left them in their Easter basket.	The girls are eating chocolate and watching the parade as it goes down the street.	3	7402|7403
1327	Many visitors have fun at the Latin celebration.	The city is completely devoid of people.	3	5629|5630
1328	The people are playing at a festival.	The people are working at an office.	3	3181|3180
1329	A person is waiting for a train.	A person is sitting at a baseball game.	3	259|257
1330	A man is taking a picture in the rain.	There is a dog doing the moonwalk in the background.	3	4805|4804
1331	The couple is celebrating an important event.	The couple is trying to figure out who the person across the street is who is holding the camera.	3	3102|3103
1332	A tall human standing	Nobody is standing	3	8219|8218
1333	A man walks and hears a funny joke and starts to laugh.	A man is falling down on the ground.	3	6181|6182
1334	Men prepare to fix their damaged bikes.	Three women ride bikes through the park.	3	6118|6119
1335	A little girl is waiting for her parents.	Little boy blows spit at people who walk by.	3	5200|5201
1336	the crowd is a mob	the crowd is on planet mars	3	2329|2331
1337	There is a busy intersection with a homeless man on the ground.	A child is upset and crying on the ground.	3	4789|4790
1338	Two clowns are performing at a mall.	Two men are driving in the rain.	3	6835|6836
1339	walkers under a blue sky near the beach	walkers inside the mall	3	5037|5036
1340	A tall human wearing glasses	Nobody has sunglasses	3	3006|3007
1341	a couple sit next to their bikes.	a couple are racing each other on their bikes.	3	6757|6756
1342	A group of women shopping for a new laptop.	A group of men looking at fishing poles.	3	7374|7375
1343	A woman picks a flower for her mother.	A man writes in a journal.	3	2136|2137
1344	The boy is having fun.	The girl is playing at the beach.	3	4265|4263
1345	Sisters are using a bubble machine to blow big bubbles.	The bubble machine makes candy.	3	1882|1880
1346	Two people are playing flag football at the park.	Two people are enjoying ice cream.	3	2805|2807
1347	The boy is good at tennis.	A girl is hitting the ball.	3	413|412
1348	An old man collects soda cans.	A young woman drank a lot of soda.	3	1878|1877
1349	The woman is in a library.	Nobody is reading a book.	3	2728|2727
1350	A happy kid and some flowers.	An old person in a field of poppies.	3	2432|2434
1351	The woman is a model.	The woman is blind.	3	308|310
1352	A homeless man wearing torn clothing is looking for food among the trash in the river.	An individual is playing guitar on the streets.	3	9725|9723
1353	A man is taking a wedding photo in front of a pond.	A man is using the restroom.	3	2515|2516
1354	A man races on a four wheeler in a charity event.	A woman cuts herself.	3	2558|2557
1355	A tall person with hair	Everyone is bald	3	5547|5545
1356	A scientist is inspecting a new strain of virus	A lifeguard sits by the pool	3	7468|7467
1357	The person on the phone is complaining about how windy it is outside.	The person is suddenly picked up by a strong gust of wind and slammed into the side of a building.	3	6332|6333
1358	The man loves to play music for people.	The man has no vocal cords.	3	9574|9573
1359	An old woman is making spaghetti.	A young woman is making food in the kitchen.	3	8641|8643
1360	A woman is attempting an eating competition at a festival.	A woman is standing with her back to a dog.	3	6934|6933
1361	People are watching the flowers blossom	People are standing on the pavement	3	1242|1243
1362	She is making a donation.	She is stealing from them.	3	8109|8110
1363	A woman checks for a stain on her son's shirt at the festival.	A woman drinks a beer.	3	9273|9271
1364	Tall humans standing	Nobody is standing	3	1382|1381
1365	The boy doesn't want to see his reflection.	The boy is upset.	3	216|217
1366	A dog is running in the field towards another dog.	A dog is asleep on the couch.	3	5979|5978
1367	An old man dressed only in a yellow towel is sweating in a sauna.	A man dressed in a coat is in a kitchen.	3	8336|8335
1368	The band plays jazz music.	The alcove is purple.	3	5894|5893
1369	The boy is in swimming clothes.	The boy is not in a pool.	3	3316|3315
1370	A husband and wife are being spontaneous by jumping in a freezing river.	Two people are in a helicopter, high above the Sahara desert.	3	4676|4677
1371	The man knows the woman.	The man is on the moon.	3	9720|9721
1372	An old man works.	Chew Wrigley's Spearmint beer.	3	8037|8036
1373	Four young boys wearing blue jeans and white shirts lounge in a living room.	Three middle aged men work at desks.	3	2254|2256
1374	a bunch of guys in colorful clothes are standing together waiting for the bus	a bunch of eagles are eating a bug	3	7864|7863
1375	the people are women	the people are running through fire	3	3270|3272
1376	They are Canadian.	There is one person .	3	8102|8101
1377	A young girl enjoys her day outside.	A young boy plays with his yo-yo.	3	5632|5633
1378	A woman is in a bowling alley.	A women is sleeping.	3	8825|8826
1379	A woman getting her annual check up.	A nurse taking the temperature of a woman.	3	2508|2506
1380	The extended family hike together on their family reunion.	The three men sit and talk about their lives.	3	144|145
1381	Two men are laying bricks.	Both of the men are on break.	3	7521|7519
1382	A sad boy rides his skateboard at the park.	A girl rides his skateboard at the park.	3	2980|2978
1383	A gymnast nervously scans a crowd for her parents before performing the routine that will reveal she hadn't been attending her lessons.	Luchadores force all other athletes off a competition field with their furious grappling.	3	2195|2196
1384	A boy is playing in his new swimming pool.	A boy is splashing others at the beach.	3	3319|3320
1385	A woman is cleaning wood outside from a bucket near the window.	A man is cleaning wood.	3	3856|3857
1386	Tall people standing	Everybody is sitting	3	2945|2946
1387	A woman wearing a yellow tank top and white pants is looking at her neighbors below her window.	A woman sits in her apartment in her pajamas with the blinds closed.	3	2907|2906
1388	A woman teaching a boy to sing.	Two girls playing the drums.	3	3706|3704
1389	The woman splashes as she tries to keep from drowning in the river.	Someone is having a picnic near the lake.	3	3477|3478
1390	An old man listening to rock walking down the sidewalk.	A man sitting on a bench outside.	3	7983|7980
1391	An ugly old man in a pink polo looks through a telescope with a small child standing next to him	An old elephant in a pink polo looks through a telescope with a small child standing next to him	3	8467|8465
1392	There is snow outside.	They are wearing swimsuits.	3	2981|2982
1393	THe woman is giving homework to the children.	Woman is keeping the paper to herself.	3	518|519
1394	An elderly female is stalking a male.	Two people are sleeping on the train.	3	121|122
1395	A person is standing on a tennis court.	The person is taking a nap in their bed.	3	2050|2051
1396	Six dogs swim across the river.	The puppies are setting on the couch.	3	183|185
1397	A woman who just won the jackpot at the casino poses for a picture.	A woman is wearing black sunglasses and holding a black suitcase.	3	9731|9729
1398	Six people are dressing old school for a play.	Six people are naked.	3	3873|3875
1399	two ladies take a rest after a race	two ladies jumping for joy	3	6910|6911
1400	Construction workers are brave.	Construction workers are having fun smashing windows.	3	7116|7117
1401	A construction worker is looking outside.	A man in a sweater vest is looking at a limo.	3	6467|6466
1402	A couple just got married.	A black couple are eating lunch.	3	7286|7285
1403	The person water-skiing is about to hit a big wave.	A person is driving an airplane over the mountains.	3	6753|6754
1404	The circus performer wows the crowd with his feat.	The husband mows the lawn.	3	1909|1907
1405	People shopping for veggies at a nice market.	People shopping for junk at a flea market.	3	2252|2253
1406	The couple are hispanic.	The couple are in their parent's car.	3	4511|4513
1407	Four people are walking along a mountain trail trying to get down before the storm.	No one is on the mountain trail	3	8489|8490
1408	Some kids playing with a raft in the lake.	Some kids playing with a jet-ski.	3	4008|4007
1409	A person riding a bike home after work.	A person riding a skateboard down a steep hill.	3	6967|6969
1410	A little girl in a pink shirt is ready to run in the woods.	A little girl is inside on her computer.	3	5366|5368
1411	A husband and wife making pizza.	A man and woman eating vegetables.	3	6454|6456
1412	three people on work break	dog chases 3 cats	3	4254|4255
1413	The woman is the man's wife.	The woman is wearing a red top.	3	3404|3403
1414	a man is a comedian	a man in an empty park	3	7084|7083
1415	The girl is jumping to catch the frisbee.	The girl is sitting on the grass.	3	520|521
1416	They have a fishing pole	The man is shopping at the mall	3	5565|5563
1417	The lady is weeding her garden	The lady is cooking dinner	3	69|68
1418	A man is giving a speech on personal finance.	A man is riding in a spaceship to the moon.	3	6077|6076
1419	Three people have drinks in their hand.	Three people have their mouths full of food.	3	3610|3609
1420	A carpenter is having some fun during his break.	The person is eating a sandwich.	3	1229|1230
1421	The dog is sitting.	The dog is loose running around the yard.	3	6090|6089
1422	A woman is walking to the escalator at a sporting event.	A woman sits beside the escalator.	3	3241|3240
1423	A person walks outside with an umbrella in his hand.	A single person is sitting at the dentist office waiting his turn.	3	1320|1319
1424	He knows a lot about tomatos.	THe chef is eating fried chicken.	3	3516|3515
1425	A guy in pants and shirt wearing a face mask to breath through fools around with a fire.	A guy in cloth pants and shirt is wearing something on his face to protect hist lungs puts out a fire.	3	9667|9666
1426	A woman older than thirty is outside in winter.	A woman is standing by a fire pit.	3	4820|4819
1427	a singer is on american idol	the singer did not show up	3	8901|8899
1428	The Indians hope there sacred dance will bring rain.	The Indians are building sand castles.	3	3178|3177
1429	A man is making a cross country trip on his motorcycle.	A man is walking on the sidewalk.	3	2927|2928
1430	A girl is wearing a cap.	A girl is strolling down the park.	3	1315|1313
1431	Two women in dresses are getting ready for the picnic.	The women are having a conversation at the office,	3	446|447
1432	The swimmer almost drowned after being sucked under a fast current.	The swimmer is eating a toasted marshmallow.	3	140|139
1433	A boy in orange rides his fathers dirt bike.	A boy in orange runs through a local mall.	3	3484|3483
1434	A woman wants a new facebook picture of her at the aquarium	A woman is tying her shoes	3	2007|2006
1435	Two dogs playing fetch.	A cat in a litter box.	3	4078|4077
1436	There is a person driving in a tournament.	Somebody is driving a boat.	3	7491|7492
1437	There are people patiently awaiting a firefight.	There are people avoiding traffic on a busy New York street.	3	1257|1258
1438	an abadnoned boy is playing with his toy in the ghetto alley.	no boy is outside in the streets playing.	3	5215|5217
1439	The dog is contemplating whether it should enter the grassy forest.	The dog is lying on the ground.	3	8271|8270
1440	The baby and the cat are in the living room.	There is not a cat near the baby.	3	8346|8348
1441	They are planting flowers.	The basketball players are playing ball.	3	1899|1900
1442	The band is playing punk rock music.	A three piece band plays a song on a medium-size stage.	3	5552|5551
1443	A child is riding the train from New York to Boston.	A child runs and screams violently in around the train.	3	6141|6140
1444	Hikers make their way along tough terrain to get to the scene of the fall.	A mid-day tea party in a miniature house attracts these young girls.	3	8796|8794
1445	A group of siblings are riding their bikes to school.	A team of polo players are practicing with their horses.	3	2181|2179
1446	The young Asian has lost her home.	The young girl is walking among the tulips.	3	5984|5983
1447	A woman is wearing a polka dot outfit, in the middle of a dangerous scene, passing out orange juice.	A monkey is passing out orange juice in the middle of the forest.	3	1210|1208
1448	The childs mom is watching her son with her friends.	The child is sleeping.	3	233|235
1449	Bob takes his infant daughter for a family photo.	A girl poses for a selfie with her mother.	3	1555|1553
1450	A child is getting ready for his junior athletic league tennis tournament.	Two women in a bright red sports car, with sunglasses and pink lipstick, laugh and sing songs.	3	4114|4115
1451	The boy has a gift for his mother.	The kid is taking a nap.	3	8372|8373
1452	A boy swims while a seagull shits on the sand.	A boy swims nude while a seagull eats his peanut butter sandwich.	3	683|685
1453	The team wearing white is winning the game.	A woman wearing red plays hockey.	3	4894|4895
1454	A pro snowboarder is competing in the Olympics.	A person is ice skating.	3	2360|2359
1455	A tall person carrying stuff	Nobody is carrying anything	3	4662|4660
1456	Three people with guitars.	Three people build a house.	3	7892|7894
1457	The girl has a troubled expression.	The girl is by herself.	3	3985|3984
1458	three kids are taking a batch	adults at a foam party	3	6750|6752
1459	Homeless people are walking outside.	People are riding a bus.	3	8989|8988
1460	Group of people standing on a snow covered ground after a blizzard ready to sweep off the buried cars while a dog is nearby.	Group of people at the beach enjoying a hot sunny day.	3	6136|6137
1461	A bird is wallowing on a pole.	A bird is sleeping on a pole line.	3	4988|4989
1462	The man and the young girl are having fun.	The man and young girl are talking to the moon.	3	5066|5067
1463	Some children throw stones into a fountain.	Some children sit and read in a library.	3	2969|2970
1464	A group of friends are travelling to Hawaii.	Two couples are drinking a lemonade.	3	9117|9119
1465	A girl debates eating at a certain restaurant.	A girl watches Everybody Loves Raymond.	3	9060|9059
1466	The three best friends just got finished playing a game of musical chairs.	The three girls are arm wrestling in China town.	3	9491|9493
1467	An older looking couple is glancing through a glass window of a busy restaurant.	An older looking couple is riding in the back of a taxi in the middle of a city.	3	8024|8025
1468	A blonde woman is singing and dancing on the stage.	A woman is reciting poetry on the stage.	3	238|237
1469	A man tries to tackle a player in a NFL game.	A man throws the first pitch in a baseball game.	3	7157|7159
1470	An employee keeps a storefront looking tidy	A man dumping a truck full of dirt onto the street	3	5503|5504
1471	A man is scalping tickets to a Seahawks game.	A man wearing a tuxedo is sitting.	3	4181|4182
1472	The customers are entertained while watching the chefs make the food.	The chefs are making food for themselves.	3	4591|4589
1473	The animals are playing catch.	The animals are lying on the bed.	3	1369|1370
1474	the lioness is hungry	the lioness is sleeping	3	955|956
1475	Two boys reading a book about spiderman.	Two boys watching a superhero show.	3	762|763
1476	A woman stands while smiling with wood that was just handed to her.	A woman stands holding her baby and crying.	3	5610|5609
1477	There are boys and girls sitting at a table playing games	There are boys and girls standing next to a table	3	3502|3500
1478	A dog returns a toy to its owner.	A white dog stole a toy.	3	2766|2767
1479	The lady on the table is cutting here sandwich is on her cellphone	the lady on the table is leeping	3	9073|9072
1480	The women posing are models.	The women are wearing post-it notes and leaves and running through the woods.	3	7039|7038
1481	The brown dog was looking intently at the bull on the other side.	A cute dog was chasing the cat through they alley.	3	7527|7525
1482	A man is using a hammer in a room.	A man is laying outside in the grass.	3	1377|1376
1483	Man takes a picture with advertiser after purchasing their brand of liquor at a store they are promoting.	Man breaks camera in front of liquor store.	3	1034|1033
1484	The woman is a model.	The woman is blind.	3	308|310
1485	He is trying to get it working again.	He is making office calls.	3	4247|4246
1486	A boy is practicing his basketball shooting skills for his school's game later.	The boy is asleep in bed.	3	3980|3982
1487	Men are having a conversation outside.	Three men are sitting at the kitchen table.	3	806|807
1488	A father and son hold a Chinese lantern and prepare to hang it up.	A man and his daughter build a doghouse while the dog sits behind them.	3	3681|3682
1489	The dog is begging for a treat.	The dog is decorating the gingerbread house.	3	6631|6632
1490	A man is mad at the woman	A man is hugging the woman	3	8543|8542
1491	A circus worker is moving the Big Top tent.	A hiker is sleeping in a tent.	3	7900|7902
1492	A man is sleeping next to his daughters dog.	A boy is playing frisbee out in the grass.	3	4059|4060
1493	They are going fishing.	They are in a boat.	3	203|205
1494	A woman opening boxes while her colleague checks a shipping manifest.	Members of congress opening care packages.	3	9496|9494
1495	the boy is ten years old	the boy is sleeping at home	3	601|602
1496	Two brothers have a snowball fight.	Two children fight over the remote.	3	3432|3430
1497	A snowboarder is practicing a new trick.	The snowboarder is sitting in a jacuzzi.	3	2363|2361
1498	A man is going to surprise his wife with dinner.	A man is sitting watching TV.	3	750|752
1499	A dog runs toward his owner with a stick in his mouth.	A dog barks at the wall.	3	5222|5223
1500	A young bicycle rider walks on top of a downed tree for fun.	The child wearing sneakers skips down a forest path.	3	4879|4881
1501	A guy is in a sand castle building competition.	A women is skiing of the mountain.	3	7232|7230
1502	A group of women sing on stage at the concert.	Some women are knitting at the cafe.	3	3596|3595
1503	People carrying their bikes at night.	Bikers racing downhill.	3	5082|5083
1504	kids playing at a park outside	kids taking naps inside	3	4203|4202
1505	A boy is walking to the beach.	A boy is sitting still.	3	3994|3993
1506	The man is a repairman.	The man is wearing tan pants.	3	7453|7451
1507	He is reading the newspaper.	He is wearing the newspaper on his head.	3	539|538
1508	Two women are in the library reading.	Two women are cooking, one has steak, while the other has burgers.	3	4856|4857
1509	The person is stealing display boards.	A man is buying a lottery ticket.	3	2717|2718
1510	Three of the men are talking on their phones.	Most of the men are dressed in white shirts.	3	6052|6054
1511	A boy is playing army with action figures on rocks.	A girl is having a tea party in her room.	3	1928|1929
1512	A person was thinking about jumping off a rock cliff.	A person was sitting on the road.	3	4958|4960
1513	People love the music	The men are watching a sports channel	3	824|825
1514	a group of people wait	a person lies on the couch	3	594|595
1515	Women taking pictures of each other at a restaurant.	Men taking pictures of women at the beach.	3	1713|1712
1516	A man in a black shirt, in a commercial kitchen, holding up the old meat he took out of a bag.	A woman in a black shirt, in a commercial kitchen, holding up meat he took out of a bag.	3	296|297
1517	The man has a great singing voice.	The man in playing a bango inside a bar.	3	2421|2420
1518	A man is wearing a blue shirt.	A man is wearing nothing.	3	578|577
1519	Some people enjoying their brunch together in the outdoor seating area of a restaurant for mother's day.	People tossing out their disgusting meals at a sketchy restaurant.	3	4351|4349
1520	A lady is sitting at a table outside	The lady is jumping up and down	3	2851|2850
1521	An Asian man walks a three-wheeled pedal card fully of white bags and he can be seen leaving the store.	An Asian man walks his dog on a rainy afternoon.	3	1813|1815
1522	A woman dressed in black shops for a bicycle.	A woman in green sleeps on a couch.	3	395|396
1523	A young African child carrying a bag on his had while working for his father in a local village.	A young African child playing soccer.	3	5627|5626
1524	Someone is playing a song for a group of people.	The man is buying a new guitar at the store.	3	9103|9102
1525	The boy was caught stealing.	The girl was running.	3	9751|9750
1526	the man works in the office.	the man brought his horse to the office.	3	2454|2453
1527	The two dogs hate each other.	The two dogs are playing fetch with their owners.	3	5781|5783
1528	A man and woman are on a date.	Two men are kissing.	3	5329|5330
1529	People are in a restaurant celebrating an anniversary.	People are sleeping.	3	7806|7804
1530	The tourists are having their picture taken by a famous work of art.	The young couple are taking pictures of the countryside.	3	8738|8740
1531	the man is a farmer	the man is flying a plane	3	5691|5692
1532	One of the cartoon character is upset.	All of the cartoon characters are sleeping while standing up.	3	5194|5195
1533	A woman is teaching a ballet class composed of small children holding green and red scarves.	A woman is teaching a ballet class composed of middle aged men holding white scarves.	3	1097|1095
1534	An Indian woman visits the outdoor bazaar to buy rice.	An American shops at the supermarket.	3	7258|7259
1535	Lady in pink reaches to shake hands with man sitting beside her.	Lady in red storms out of a cafe.	3	2288|2289
1536	A man is twisting a balloon into the shape of a dog.	The children are sad as the man ignores them	3	8285|8284
1537	A woman is enjoying a beer.	A woman is standing by the food.	3	5128|5129
1538	a child enjoys summer vacation	a cat sleeps on the couch	3	5290|5291
1539	the guy with the afro is playing on the guitar for his mom	the guy with the afro is eating spinach	3	4980|4979
1540	The person is clearing their snowed up driveway	The rain is pouring in the desert	3	1078|1080
1541	A criminal working his way through the transit station	A man wearing a white suit at a wedding.	3	7481|7482
1542	The white team is winning a basketball game.	A group of people are water skiing.	3	8514|8512
1543	The man and woman are engaged.	The man's pants are red.	3	6515|6513
1544	The person is taking a nature hike.	The person is indoors.	3	9431|9430
1545	A man is at the doctor.	A man is sleeping.	3	1511|1512
1546	The newlyweds are kissing in a church during the wedding.	The newlyweds are actually vampires.	3	7748|7749
1547	A robber is in a police car.	A woman is showing her head while riding on a horse	3	1073|1074
1548	A man is at a concert playing for a large crowd.	A man is walking.	3	5021|5022
1549	the woman is at a party	the woman is at a ski lodge	3	9124|9123
1550	A man and woman take selfies while a woman walks by and judges them.	A man and woman have mug shots taken because they have been arrested.	3	187|186
1551	a man walking around in nature because he's lost	a woman at the beach	3	4394|4395
1552	The glass bottle is big	The doll isn't Stitch	3	8763|8764
1553	The man in the plaid shirt is looking through a telescope to see stars at daytime.	A old man in a plaid shirt buys apples at the market.	3	4237|4239
1554	the child is riding his bike to the park	the child is at home watching movies	3	8733|8734
1555	A man is performing for children for fun	A woman is break dancing	3	5468|5469
1556	The young man is juggling balls.	The young man is sleeping.	3	7816|7817
1557	A woman is at work.	A woman is sitting with empty hands.	3	350|352
1558	The man has his face painted for a Halloween event.	The man has nothing on his face.	3	1543|1541
1559	The person is a gay Republican.	The donkey sign is smeared with paint.	3	6260|6259
1560	a man performs on the street for tips	a man is eating a sandwich	3	9539|9540
1561	The three men are taking a break at work in the kitchen.	Three Asian men work at a bar.	3	7664|7666
1562	Teammates are competing in a softballs championship.	Two softball players are sitting on a bench.	3	320|322
1563	The child is getting her school pictures taken.	The boy is posing for a picture.	3	3098|3096
1564	a man holds a comb on a box	a man waits tables insdie	3	4603|4605
1565	The young sad lady is giving the old man a hug.	The young man is giving the old man a hug.	3	5013|5014
1566	They are holding pom poms.	The cheerleaders are sitting in the stands.	3	9099|9098
1567	Players are wearing helmet.	The players are taking rest.	3	573|574
1568	A man is performing in a concert.	A man is talking to others.	3	8622|8620
1569	Man eating his food while sitting with his daughter.	Man eating child.	3	9551|9550
1570	The young white girl is standing on a street while it's sunny outside.	The young white girl is sitting by the sidewalk.	3	2241|2239
1571	The boy is wearing black.	The boy is sitting on the ground.	3	5483|5484
1572	Two women are on vacation in the hot tub.	Two men are in the hot tub.	3	8040|8038
1573	Six men are trying to get to their gate at the airport.	Six men are sitting on a park bench.	3	1650|1651
1574	A man is working indoors.	A man is painting.	3	8506|8507
1575	They are wearing all black gear.	There is only one person present.	3	2625|2624
1576	A man pushing away another man on the soccer field because he pushed him first.	A woman says Hi to another woman at the grocery store.	3	7753|7751
1577	Some people are walking on the beach collecting sea shells.	A man in a red shirt is reading at the park.	3	4517|4519
1578	Older men eating dinner	Older men playing shuffle	3	4319|4321
1579	The coaches give the team last minute directions.	A woman drinks moonshine.	3	4788|4787
1580	a princess in white dress was there in crowd	people were chasing the white dressed angel	3	2284|2285
1581	A swimmer is winning	A man is riding a bike	3	1679|1681
1582	A man and a woman are talking	A man and a woman are seated	3	6992|6990
1583	Three children are playing on a blue swing set.	Three children are swimming in a pool.	3	6706|6707
1584	The child is wearing a helmet because it is going on a bike ride with its mother soon.	A child sleeps in a crib.	3	4504|4503
1585	Some dogs playing in grass.	Various dogs sleeping in a house.	3	9010|9008
1586	A blonde boy in a white shirt.	A boy in a purple shirt.	3	9560|9559
1587	A barber in a sports shop waits eagerly for business.	A barber is closing his door.	3	9472|9471
1588	Women are fixing a school roof.	A man is washing his hands.	3	8337|8338
1589	A group of friends are headed to Wendys	Four people are sleeping at home	3	9064|9063
1590	The players are playing rugby in a championship game.	The players are playing basketball.	3	1720|1719
1591	The man is at a farm.	The man is at home with his kids.	3	6690|6691
1592	A woman is wearing a silk shirt.	A woman is in the shower.	3	2046|2048
1593	A man and woman are getting eloped	Two people are going to a hockey game	3	3476|3474
1594	The young Asian couple are using an umbrella to protect themselves from the hard rain.	A young Asian couple are swimming in the pool.	3	9319|9320
1595	Tall people talking	Nobody is talking	3	9511|9509
1596	People on a double date in the city.	People eating lunch together.	3	4539|4540
1597	The woman is walking to the shop.	The woman is eating lunch.	3	7975|7974
1598	Five rodeo contestants wait their turn to win the 500 dollar prize.	Two rodeo contestants wait their turn.	3	8010|8008
1599	The deals can be found at flea markets.	The man and women are at a high priced store.	3	9562|9561
1600	A woman is sitting outside waiting for her friend.	A woman is sitting inside.	3	8297|8298
1601	A tall person standing	Nobody is standing	3	6595|6596
1602	A horse is near a man who is about to ride it.	A horse is dead.	3	4270|4269
1603	the woman is his mother	the woman is asleep at home	3	6206|6207
1604	The two dogs are playing with a frisbee.	The two dogs are resting in the field.	3	2086|2088
1605	People look out side the bar they are in.	People look at a movie screen.	3	3953|3955
1606	A guy is doing skateboard tricks outside a building to promote a movie.	Two men are pointing guns at each other on a dusty trail.	3	2281|2283
1607	People getting ready to enter a vehicle.	Some men driving down a road.	3	2815|2816
1608	A man moves while playing a game	An old woman sits on a bench.	3	3876|3877
1609	This person is going to the waterfall	This person is in a hot air balloon	3	1069|1071
1610	A man drawing a caricature of his wife.	A man painting a car.	3	2603|2601
1611	The children are enjoying a surprise snowday off from school in the middle of April	The children are eating PB&J sandwiches inside their kitchen.	3	9359|9360
1612	The body of water is a lake.	The two young boys are playing kickball at the park.	3	9039|9040
1613	Th small child is watching a performance.	A small child is standing by the man.	3	5184|5183
1614	A woman is trying to take pictures of the world's largest tree	A woman is in a green nun uniform	3	8322|8323
1615	two white girls running	one girl running	3	5436|5435
1616	A woman is enjoying the outside weather	A fat blonde is eating a hot dog	3	2888|2889
1617	The man wearing stars and stripes on a bike is in a parade.	The man is dancing under the stars.	3	2957|2959
1618	Two naked men are practicing dance moves on the street.	A dog is sleeping in a home.	3	5214|5213
1619	The man is in the kitchen of a restaurant.	The man is washing his car.	3	374|375
1620	Some people are attending an outdoor book sale.	Some women are wrapping gifts.	3	1559|1560
1621	A man is with a cowboy	A man takes a picture of a woman	3	820|819
1622	A dark-haired lady is dressed for a good day	The dark-haired lady frowned and wore all black	3	8064|8062
1623	Some people go on an adventure.	People sit on a couch.	3	4708|4707
1624	The woman had a long day.	The woman looks like she's full of energy.	3	9016|9015
1625	The woman is the girl's mom.	The girl is on a car.	3	1617|1618
1626	A man watches his daughter leap	A boy runs into a wall	3	23|21
1627	A woman is on her way home.	A young woman is standing on her hands.	3	6232|6233
1628	A woman is doing a handstand on the balance beam.	A woman is napping in the gym.	3	641|642
1629	The kangaroo wants to leave	The women are wiping a windshield	3	8091|8093
1630	The man has black hair.	The man is wearing a kilt and his standing on the ground.	3	3298|3299
1631	A boy is jumping his skateboard while his friends watch.	A girl is picks up her skateboard.	3	5230|5231
1632	The boy wants to be a professional guitar player when he grows up	The boy plays the flute	3	5773|5774
1633	A tall person with hair	Everybody is bald	3	6273|6271
1634	the guy in the sweatshirt uses the power saw to saw wood for a house	the guy is dancing to Michael Jackson	3	2063|2061
1635	A person reads their favorite novel.	A man listens to an audio book.	3	8677|8678
