index	passage	question	label	question_paraphrase
2847	Dwyane Wade -- Selected 5th overall in the 2003 NBA draft by the Miami Heat, Wade quickly emerged as a productive player on a youthful Miami Heat team and averaged 16.2 points on 46.5% shooting with averages of 4.0 rebounds and 4.5 assists per game. Wade is one of only four Marquette University players to be drafted in the first round; his is the highest draft selection in school history. After a 5--15 start, the Heat would gradually improve and finish 42--40 to qualify for the NBA playoffs. He further distinguished himself with outstanding performances in the playoffs, particularly against the Indiana Pacers in the Eastern Conference Semi-finals. In the end, however, Wade's successful rookie season was somewhat overshadowed by the success of fellow rookies Carmelo Anthony and LeBron James. Wade did earn unanimous selection to the 2004 NBA All-Rookie Team, and also finished third in rookie of the year voting (behind James and Anthony). He was ranked in the top five among rookies in several major statistical categories, including second in field goal percentage, second in steals, third in scoring, fourth in assists, and fourth in minutes played. In the playoffs Wade hit a game-winning shot in Game 1 of the Heat's first round series against the New Orleans Hornets. The Heat won the series 4--3 and advanced to the second round to face the top-seeded and best record team in the NBA, the Indiana Pacers, in a very entertaining series that almost pushed the 61-win Pacers to the edge, though Miami would eventually lose the series in six games. He became the fourth rookie since the shot clock era began to lead his team in scoring and assist average in the postseason.	did dwyane wade make the playoffs his rookie year?	1	Dwyane Wade made the playoffs as a rookie?
1346	Seth Curry -- Seth Adham Curry (born August 23, 1990) is an American professional basketball player for the Portland Trail Blazers of the National Basketball Association (NBA). He played college basketball for one year with the Liberty Flames before transferring to the Duke Blue Devils. He is the son of former NBA player Dell Curry and the younger brother of NBA player Stephen Curry.	does steph curry have a brother that plays basketball?	1	Is Steph Curry's brother a basketball player?
1814	HCF Health Insurance -- HCF (The Hospitals Contribution Fund of Australia) was formed in 1932 to provide health insurance cover to Australians. Since then, it has grown to become one of the country's largest combined registered private health fund and life insurance organisations. HCF is the 3rd largest health insurance company by market share (10.3% in FY2010) and is the largest not-for-profit health fund in Australia.	is hcf a not for profit health fund?	1	Is hcf a non-profit health care fund?
2312	Jet lag -- Jet lag is a physiological condition which results from alterations to the body's circadian rhythms caused by rapid long-distance trans-meridian (east--west or west--east) travel. For example, someone flying from New York to London, i.e. from west to east, feels as if the time were five hours earlier than local time and said person traveling from London to New York, i.e. from east to west, feels as if the time were five hours later than local time. Jet lag was previously classified as one of the circadian rhythm sleep disorders.	do you get jet lag travelling west to east?	1	Do you experience jet lag when travelling from west to east?
795	Tunisia at the FIFA World Cup -- Tunisia have appeared in the finals of the FIFA World Cup on five occasions, the first being at the 1978 FIFA World Cup where they finished in ninth position. Between 1998 and 2006 they had a streak of three World Cup qualifications. They have made their fifth appearance at the finals in the 2018 FIFA World Cup in Russia.	have tunisia been in the world cup before?	1	Has Tunisia previously competed in the World Cup?
312	Saint Kitts -- Saint Kitts became home to the first Caribbean British and French colonies in the mid-1620s. Along with the island nation of Nevis, Saint Kitts was a member of the British West Indies until gaining independence on September 19, 1983.	is st kitts and nevis a us territory?	0	Is St. Kitts and Nevis a United States territory?
1816	Emetophobia -- Emetophobia is a phobia that causes overwhelming, intense anxiety pertaining to vomiting. This specific phobia can also include subcategories of what causes the anxiety, including a fear of vomiting in public, a fear of seeing vomit, a fear of watching the action of vomiting or fear of being nauseated. It is common for emetophobics to be underweight, or even anorexic, due to strict diets and restrictions they make for themselves. The thought of someone possibly vomiting can cause the phobic person to engage in extreme behaviors to escape the perceived (and sometimes very real) threat of that particular situation, in which the phobic person will go to great lengths to avoid even potential situations that could even be perceived as ``threatening''.	is there such thing as a phobia of vomit?	1	Is there such a thing as vomit phobia?
314	Football pitch -- A football pitch (also known as a football field or soccer field) is the playing surface for the game of association football. Its dimensions and markings are defined by Law 1 of the Laws of the Game, ``The Field of Play''. The surface can either be natural or artificial, but FIFA's Laws of the Game specify that all artificial surfaces must be painted green. The pitch is typically made of turf (grass) or artificial turf, although amateur and recreational teams often play on dirt fields.	can you play soccer on a football field?	1	Can soccer be played on a football field?
1348	Net present value -- Net present value (NPV) is determined by calculating the costs (negative cash flows) and benefits (positive cash flows) for each period of an investment. The period is typically one year, but could be measured in quarter-years, half-years or months. After the cash flow for each period is calculated, the present value (PV) of each one is achieved by discounting its future value (see Formula) at a periodic rate of return (the rate of return dictated by the market). NPV is the sum of all the discounted future cash flows. Because of its simplicity, NPV is a useful tool to determine whether a project or investment will result in a net profit or a loss. A positive NPV results in profit, while a negative NPV results in a loss. The NPV measures the excess or shortfall of cash flows, in present value terms, above the cost of funds. In a theoretical situation of unlimited capital budgeting a company should pursue every investment with a positive NPV. However, in practical terms a company's capital constraints limit investments to projects with the highest NPV whose cost cash flows, or initial cash investment, do not exceed the company's capital. NPV is a central tool in discounted cash flow (DCF) analysis and is a standard method for using the time value of money to appraise long-term projects. It is widely used throughout economics, finance, and accounting.	does npv account for time value of money?	1	Does npv take into account the time value of money?
2313	Death from laughter -- Death from laughter is a rare form of death, usually resulting from cardiac arrest or asphyxiation, caused by a fit of laughter. Instances of death by laughter have been recorded from the times of ancient Greece to the modern day.	is it possible for someone to die of laughter?	1	Is it possible to pass away from laughter?
2848	Vehicle registration plates of Washington, D.C. -- Since November 2000, the standard Washington, D.C. license plate design has featured the slogan ``Taxation Without Representation,'' referring to the unique circumstance that the district's residents face, in which they must pay federal income tax but cannot elect a voting member of the United States Congress.	does washington dc have their own license plate?	1	Is there a licence plate for Washington, DC?
799	Avengers: Infinity War -- The film was announced in October 2014 as Avengers: Infinity War -- Part 1. The Russo brothers came on board to direct in April 2015 and by May, Markus and McFeely had signed on to write the script for the film, which drew inspiration from Jim Starlin's 1991 The Infinity Gauntlet comic and Jonathan Hickman's 2013 Infinity comic. In 2016, Marvel shortened the title to Avengers: Infinity War. Filming began in January 2017 at Pinewood Atlanta Studios in Fayette County, Georgia, with a large cast consisting mostly of actors reprising their roles from previous MCU films. The production lasted until July 2017, shooting back-to-back with an untitled direct sequel. Additional filming took place in Scotland, England, the Downtown Atlanta area, and New York City. With an estimated budget in the range of $316--400 million, it is one of the most expensive films ever made.	is there a part two to advengers infinity war?	1	Is there a sequel to Avengers: Infinity War?
2850	American Ninja Warrior -- American Ninja Warrior (sometimes abbreviated as ANW) is an American sports entertainment competition that is a spin-off of the Japanese television series Sasuke. It features hundreds of competitors attempting to complete a series of obstacle courses of increasing difficulty, trying to make it to the national finals on the Las Vegas Strip, in hopes of becoming an ``American Ninja Warrior''. To date only two competitors, rock-climbers Isaac Caldiero and Geoff Britten, have finished the course and achieved ``Total Victory''. Caldiero is the only competitor to win the cash prize. The series premiered on December 12, 2009 on the now-defunct cable channel G4 and now airs on NBC with encore episodes airing on USA Network and NBCSN.	has anyone ever won the american ninja warrior?	1	Has the American Ninja Warrior ever been won?
2314	Reactive centrifugal force -- In classical mechanics, a reactive centrifugal force forms part of an action--reaction pair with a centripetal force.	are centripetal and centrifugal force action reaction pair?	1	What is the relationship between centripetal and centrifugal force action reactions?
1820	This Is Us (season 2) -- The second season, consisting of 18 episodes, aired from September 26, 2017, to March 13, 2018, on NBC. This Is Us served as the lead-out program for Super Bowl LII in February 2018 with the second season's fourteenth episode.	is this is us over for the season?	1	Is this the end of the season for us?
317	List of poker hands -- A straight flush is a poker hand containing five cards of sequential rank, all of the same suit, such as Q♥ J♥ 10♥ 9♥ 8♥ (a ``queen-high straight flush''). It ranks below five of a kind and above four of a kind. As part of a straight flush, an ace can rank either above a king or below a two, depending on the rules of the game. Under high rules, an ace can rank either high (e.g. A♥ K♥ Q♥ J♥ 10♥ is an ace-high straight flush) or low (e.g. 5 4 3 2 A is a five-high straight flush), but cannot rank both high and low in the same hand (e.g. Q♣ K♣ A♣ 2♣ 3♣ is an ace-high flush, not a straight flush). Under deuce-to-seven low rules, aces can only rank high, so a hand such as 5♠ 4♠ 3♠ 2♠ A♠ is actually an ace-high flush. Under ace-to-six low rules, aces can only rank low, so a hand such as A♥ K♥ Q♥ J♥ 10♥ is actually a king-high flush. Under ace-to-five low rules, straight flushes are not recognized, and a hand that would be categorized as a straight flush is instead a high card hand.	is an ace 2 3 4 5 a straight?	1	Is an ace, two, three, four, and five a straight?
2318	Common cold -- Well over 200 virus strains are implicated in causing the common cold, with rhinoviruses being the most common. They spread through the air during close contact with infected people or indirectly through contact with objects in the environment, followed by transfer to the mouth or nose. Risk factors include going to daycare, not sleeping well, and psychological stress. The symptoms are mostly due to the body's immune response to the infection rather than to tissue destruction by the viruses themselves. In contrast, those affected by influenza can show similar symptoms as people with a cold, but symptoms are usually more severe. Additionally, influenza is less likely to result in a runny nose.	are there different strains of the common cold?	1	Is there a variety of strains of the common cold?
2854	List of Blue's Clues characters -- Blue is a playful and energetic female puppy with light blue fur and dark blue spots. She cannot talk but communicates with her owners, Steve and Joe, through barks that they interpret based on her tone and expression. In each episode, she plays a game called Blue's Clues, in which she leaves three blue paw print clues for the host and viewers to find in order to answer a question. She has the ability to enter storybooks and picture frames by ``skidooing'' into them with a special dance routine. In the sixth season, she is granted a magic playroom called Blue's Room in which she can interact with the viewer and a cast of live-action puppet characters. She is voiced by Traci Paige Johnson, one of the series' creators. Johnson was cast as the character's voice because out of the crew, she was able to sound the most like a dog.	is blue off of blue's clues a girl?	1	Is blue a girl based on her clues?
319	Grand Slam (golf) -- Only Bobby Jones has ever completed a Grand Slam. No man has ever achieved a modern era Grand Slam. Tiger Woods won all four major events consecutively within a 365-day period, but his victories were spread over two calendar years.	has anyone won the grand slam in golf?	1	Has anyone ever won the golf grand slam?
1821	Princeton Theological Seminary -- Princeton Theological Seminary (PTS) is a private, nonprofit, and independent graduate school of theology in Princeton, New Jersey. Founded in 1812 under the auspices of Archibald Alexander, the General Assembly of the Presbyterian Church, and the College of New Jersey (now Princeton University), it is the second-oldest seminary in the United States. It is also the largest of ten seminaries associated with the Presbyterian Church (USA).	is princeton theological seminary part of princeton university?	1	Is the Princeton Theological Seminary affiliated with Princeton University?
2320	Lowe's -- Lowe's is the second-largest hardware chain in the United States behind The Home Depot and ahead of Menards. Globally, Lowe's is also the second-largest hardware chain, again behind The Home Depot but ahead of the European stores B&Q and OBI.	is home depot and lowes the same company?	0	Is it true that Home Depot and Lowe's are the same company?
323	Pirates of the Caribbean (attraction) -- Pirates of the Caribbean is a dark ride attraction at Disneyland, Magic Kingdom, Tokyo Disneyland, and Disneyland Park in Paris. The original version at Disneyland, which opened in 1967, was the last attraction whose construction was overseen by Walt Disney; he died three months before it opened. The ride, which tells the story of a band of pirates and their troubles and exploits, was replicated at the Magic Kingdom in 1973, at Tokyo Disneyland in 1983, and at Disneyland Paris in 1992. Each of the initial four versions of the ride has a different façade but a similar ride experience. A reimagined version of the ride, Pirates of the Caribbean: Battle for the Sunken Treasure, opened at the Shanghai Disneyland Park in 2016.	did the pirates of the caribbean ride come first?	1	Is it true that the Pirates of the Caribbean ride was the first?
801	Water intoxication -- Water intoxication, also known as water poisoning, hyperhydration, or water toxemia is a potentially fatal disturbance in brain functions that results when the normal balance of electrolytes in the body is pushed outside safe limits by overhydration (excessive water intake).	can you die from consuming too much water?	1	Is it possible to die from drinking too much water?
1360	Overtime (ice hockey) -- In many leagues (including the NHL for regular-season games since the 2005--06 season) and in international competitions, a failure to reach a decision in a single overtime may lead to a shootout. Some leagues may eschew overtime periods altogether and end games in shootout should teams be tied at the end of regulation. In the ECHL, regular season overtime periods are played four on four for one five-minute period. In the Southern Professional Hockey League, regular season overtime periods are played three on three for one five-minute period, with penalties resulting in the opponents skating one additional player on ice (up to two additional players) for the penalty for the first three minutes, and a penalty shot in the final two minutes. The AHL, since the 2014--15 season, extended the overtime to seven minutes, with the last three minutes reduced further to three men aside and teams getting an additional skater for each opponent's penalty. The idea of using 3-on-3 skaters for the entirety of a five-minute overtime period for a regular season game was adopted by the NHL on June 24, 2015, for use in the 2015--16 NHL season.	can a nhl playoff game end in a tie?	0	Is it possible for an NHL playoff game to end in a tie?
2858	Television licensing in the United Kingdom -- In the United Kingdom and the Crown dependencies, any household watching or recording live television transmissions as they are being broadcast (terrestrial, satellite, cable, or Internet) is required to hold a television licence. Businesses, hospitals, schools and a range of other organisations are also required to hold television licences to watch and record live TV broadcasts. A television licence is also required to receive video on demand programme services provided by the BBC, on the iPlayer catch-up service.	do you have to have a license to own a tv in england?	0	Is it necessary to have a licence to own a television in England?
1822	Major League Baseball All-Star Game -- The venue for the All-Star Game is chosen by Major League Baseball. The criteria for the venue are subjective; generally, cities with new ballparks and those who have not hosted the game in a long time--or ever--tend to get selected. Over time, this has resulted in certain cities being selected more often at the expense of others, mainly due to timely circumstances: Cleveland Stadium and the original Yankee Stadium are tied for the most times a venue has hosted the All-Star game, both hosting four games. New York City has hosted more than any other city, having done so nine times in five different stadiums. At the same time, the New York Mets failed to host for 48 seasons (1965--2012), while the Los Angeles Dodgers have not hosted since 1980 (38). (The Dodgers hosted the second all star game on August 3rd, 1959.) Among current major league teams, the Washington Nationals and the Tampa Bay Rays have yet to host the All-Star game, but the Nationals are scheduled to host the game in 2018.	does mlb all star game determines home field?	1	Is the MLB All-Star Game used to determine home field?
325	The Wizarding World of Harry Potter (Universal Orlando Resort) -- The Wizarding World of Harry Potter is a themed area spanning two theme parks--Islands of Adventure and Universal Studios Florida--at the Universal Orlando Resort in Orlando, Florida. The area is themed to the Harry Potter media franchise, adapting elements from the film series and novels by J.K. Rowling. The Wizarding World of Harry Potter was designed by Universal Creative from an exclusive license with Warner Bros. Entertainment.	is the wizarding world of harry potter in islands of adventure?	1	Is Harry Potter's wizarding world full of adventure islands?
802	Carrier oil -- Carrier oil, also known as base oil or vegetable oil, is used to dilute essential oils and absolutes before they are applied to the skin in massage and aromatherapy. They are so named because they carry the essential oil onto the skin. Diluting essential oils is a critical safety practice when using essential oils. Oils alone are volatile because they begin to dissipate as soon as they are applied. The rate of dispersion will vary based on how light or heavy the carrier oil is. Carrier oils do not contain a concentrated aroma, unlike essential oils, though some, such as olive, have a mild distinctive smell. Neither do they evaporate like essential oils, which are more volatile. The carrier oils used should be as natural and unadulterated as possible. Many people feel organic oils are of higher quality. Cold-pressing and maceration are the two main methods of producing carrier oils.	can you use vegetable oil as carrier oil?	1	Can vegetable oil be used as a carrier oil?
2321	Avatar: The Last Airbender -- Avatar: The Last Airbender was co-created and produced by Michael Dante DiMartino and Bryan Konietzko at Nickelodeon Animation Studios in Burbank, California. Its animation was mostly done by South Korean studios JM Animation, DR Movie, and MOI Animation. According to Konietzko, the series was conceived in early 2001 when he took an old sketch of a balding, middle-aged man and imagined the man as a child. He drew the character herding bison in the sky and showed the sketch to DiMartino, who was watching a documentary about explorers trapped at the South Pole. Konietzko described their early development of the concept; ``There's an air guy along with these water people trapped in a snowy wasteland ... and maybe some fire people are pressing down on them''. The co-creators successfully pitched the idea to Nickelodeon vice-president and executive producer Eric Coleman two weeks later.	was avatar the last airbender based on a book?	0	Was Avatar: The Last Airbender inspired by a book?
1362	Multiway switching -- Three-way and four-way switches make it possible to control a light from multiple locations, such as the top and bottom of a stairway, either end of a long hallway, or multiple doorways into a large room. These switches appear externally similar to single pole, single throw (SPST) switches, but have extra connections which allow a circuit to be controlled from multiple locations. Toggling the switch disconnects one ``traveler'' terminal and connects the other.	is there such thing as a 4 way switch?	1	Is a four-way switch available?
2859	Make-A-Wish Foundation -- The Make-A-Wish Foundation is a 501(c)(3) non-profit organization founded in the United States that arranges experiences described as ``wishes'' to children with life-threatening medical conditions. In order to qualify for a wish, the child must be between the ages of 2 and 17 years at the time of the application submitted, although it is the child's physician that ultimately decides if a child is eligible.	is make a wish foundation a nonprofit organization?	1	Is the Make-A-Wish Foundation a charitable organisation?
1823	Lipid -- Sterol lipids, such as cholesterol and its derivatives, are an important component of membrane lipids, along with the glycerophospholipids and sphingomyelins. The steroids, all derived from the same fused four-ring core structure, have different biological roles as hormones and signaling molecules. The eighteen-carbon (C18) steroids include the estrogen family whereas the C19 steroids comprise the androgens such as testosterone and androsterone. The C21 subclass includes the progestogens as well as the glucocorticoids and mineralocorticoids. The secosteroids, comprising various forms of vitamin D, are characterized by cleavage of the B ring of the core structure. Other examples of sterols are the bile acids and their conjugates, which in mammals are oxidized derivatives of cholesterol and are synthesized in the liver. The plant equivalents are the phytosterols, such as β-sitosterol, stigmasterol, and brassicasterol; the latter compound is also used as a biomarker for algal growth. The predominant sterol in fungal cell membranes is ergosterol.	is cholesterol a partial breakdown product of lipids?	1	Is cholesterol a byproduct of lipid breakdown?
2864	McCormick & Schmick's -- McCormick & Schmick's Seafood Restaurants Inc. is an American seafood restaurant chain, based in Portland, Oregon. As of October 2016, the company operates 72 locations in North America under various brands, including 60 restaurants across 22 U.S. states, as well as 12 Canadian locations that operate under the Boathouse name. A sale to the parent company, Landry's, Inc., was completed in January 2012.	is mccormick and schmick owned by landry's?	1	Is Landry's the owner of McCormick and Schmick?
2322	Tully (2018 film) -- Tully is a 2018 American comedy-drama film directed by Jason Reitman and written by Diablo Cody. The film stars Charlize Theron, Mackenzie Davis, Mark Duplass, and Ron Livingston, and follows the friendship between a mother of three and her nanny. It is the fourth collaboration between Reitman and Cody, following Juno (2007), Jennifer's Body (2009), and Young Adult (2011), the last of which also starred Theron.	is the film tully based on the book?	0	Is Tully based on a book?
1825	Child -- Legally, the term ``child'' may refer to anyone below the age of majority or some other age limit. The United Nations Convention on the Rights of the Child defines child as ``a human being below the age of 18 years unless under the law applicable to the child, majority is attained earlier''. This is ratified by 192 of 194 member countries. The term ``child'' may also refer to someone below another legally defined age limit unconnected to the age of majority. In Singapore, for example, a ``child'' is legally defined as someone under the age of 14 under the ``Children and Young Persons Act'' whereas the age of majority is 21. In U.S. Immigration Law, a child refers to anyone who is under the age of 21.	is a 10 year old still a child?	1	Is a ten-year-old still considered a child?
816	Deadpool 2 -- One scene that was cut from the film following test screenings was a post-credits scene featuring Deadpool travelling back in time to kill a baby Adolf Hitler. It was decided that the scene made audiences too ``squeamish'', which was not the feeling that the creative team wanted people to be leaving the film with. The film originally did not have any post- or mid- credits scenes, with the Hitler scene and the film's other time-traveling mid-credits scenes shot during additional photography. The latter came about when someone suggested the time travel device be used to fix real-world mistakes like Reynolds role in Green Lantern which the writers felt was ``the funniest idea ever, and what a great idea to end the movie''. Additional footage of the X-Force team was shot for the film's marketing to hide the fact that the majority of the X-Force are immediately killed as a joke in the film. Due to Deadpool's mask, the creative team was able to change the character's dialogue up to the film being officially completed; Reynolds took this opportunity to keep adding new jokes to the film as long as possible.	are there any post credit scenes in dead pool 2?	0	Is there anything after the credits in Deadpool 2?
1366	Frozen (2010 American film) -- Frozen is a 2010 American thriller-drama film written and directed by Adam Green and starring Emma Bell, Shawn Ashmore and Kevin Zegers.	is frozen ski movie based on a true story?	0	Is the film Frozen Skies based on a true storey?
329	Brie -- Brie (/briː/; French: (bʁi)) is a soft cow's-milk cheese named after Brie, the French region from which it originated (roughly corresponding to the modern département of Seine-et-Marne). It is pale in color with a slight grayish tinge under a rind of white mould. The rind is typically eaten, with its flavor depending largely upon the ingredients used and its manufacturing environment.	is the white cover on brie cheese edible?	1	Is brie cheese's white cover edible?
2327	Corinthian leather -- Corinthian leather is a term coined by the advertising agency Bozell to describe the upholstery used in certain Chrysler luxury vehicles. The term first appeared in advertising in 1974. Although the term suggests that the product has a relationship to or origination from Corinth, there is no relationship; the term is merely a marketing concept.	is there such a thing as corinthian leather?	0	Is it possible to find corinthian leather?
2865	Toll-free telephone numbers in the North American Numbering Plan -- In the United States of America, Canada, and other countries participating in the North American Numbering Plan, a toll-free telephone number has one of the area codes 800, 833, 844, 855, 866, 877, and 888.	is 866 a toll free number in canada?	1	Is the number 866 a toll-free number in Canada?
1367	Energy subsidies -- According to a 2015 estimate by the Obama administration, the US oil industry benefited from subsidies of about $4.6 billion per year. A 2017 study by researchers at Stockholm Environment Institute published in the journal Nature Energy estimated that nearly half of U.S. oil production would be unprofitable without subsidies.	does the government give subsidies to oil companies?	1	Is the government subsidising oil companies?
1826	Remote Play -- PS3 to Vita Remote Play went on to be rarely implemented as well. It retained any games supported by PS3 to PSP Remote Play support, including all original PlayStation games, but was again rarely used by actual PS3 games. Only a few games supported it, namely HD Remasters such as The Ico & Shadow of the Colossus Collection and the God of War Collection.	can you play all ps3 games on vita?	0	Is it possible to play all PS3 games on the Vita?
2328	Gone Baby Gone -- Gone Baby Gone is a 2007 American neo-noir mystery drama film directed by Ben Affleck. In his feature-length directorial debut, Affleck co-wrote the screenplay with Aaron Stockard based on the novel Gone, Baby, Gone by Dennis Lehane. The film stars Casey Affleck and Michelle Monaghan as two private investigators hunting for a little girl who was abducted from the Boston neighborhood of Dorchester. The supporting cast includes Morgan Freeman, Ed Harris and Amy Ryan.	is the movie gone baby gone a true story?	0	Is the film Gone Baby Gone based on a true storey?
338	American entry into Canada by land -- Canadian law requires that all persons entering Canada must carry proof of both citizenship and identity. A valid U.S. passport or passport card is preferred, although a birth certificate, naturalization certificate, citizenship certificate, or another document proving U.S. nationality, together with a government-issued photo ID (such as a driver's license) are acceptable to establish identity and nationality. However, the documents required to return to the United States can be more restrictive (for example, a birth certificate and photo ID are insufficient) -- see the section below on Return entry into the U.S.	can i get into canada with a military id?	1	Can I enter Canada using my military ID?
818	I Can Only Imagine (film) -- I Can Only Imagine is a 2018 American Christian drama film directed by the Erwin Brothers and written by Alex Cramer, Jon Erwin, and Brent McCorkle, based on the story behind the MercyMe song of the same name, the best-selling Christian single of all time. The film stars J. Michael Finley as Bart Millard, the lead singer who wrote the song about his relationship with his father (Dennis Quaid). Madeline Carroll, Priscilla Shirer, Cloris Leachman, and Trace Adkins also star.	is i can only imagine movie true story?	1	Is the I Can Only Imagine movie based on a true storey?
1369	List of poker hands -- A straight flush is a poker hand containing five cards of sequential rank, all of the same suit, such as Q♥ J♥ 10♥ 9♥ 8♥ (a ``queen-high straight flush''). It ranks below five of a kind and above four of a kind. As part of a straight flush, an ace can rank either above a king or below a two, depending on the rules of the game. Under high rules, an ace can rank either high (e.g. A♥ K♥ Q♥ J♥ 10♥ is an ace-high straight flush) or low (e.g. 5 4 3 2 A is a five-high straight flush), but cannot rank both high and low in the same hand (e.g. Q♣ K♣ A♣ 2♣ 3♣ is an ace-high flush, not a straight flush). Under deuce-to-seven low rules, aces can only rank high, so a hand such as 5♠ 4♠ 3♠ 2♠ A♠ is actually an ace-high flush. Under ace-to-six low rules, aces can only rank low, so a hand such as A♥ K♥ Q♥ J♥ 10♥ is actually a king-high flush. Under ace-to-five low rules, straight flushes are not recognized, and a hand that would be categorized as a straight flush is instead a high card hand.	is ace 2 3 4 5 a straight?	1	Is an ace, two, three, four, and five a straight?
1834	Eurozone -- The eurozone ( pronunciation (help info)), officially called the euro area, is a monetary union of 19 of the 28 European Union (EU) member states which have adopted the euro (€) as their common currency and sole legal tender. The monetary authority of the eurozone is the Eurosystem. The other nine members of the European Union continue to use their own national currencies, although most of them are obliged to adopt the euro in the future.	do european countries still have their own currency?	1	Is it still possible for European countries to have their own currency?
340	Love Never Dies (musical) -- Later, the freak show trio takes Gustave to meet the Phantom in the Aerie, where the boy is enthralled by the many curious inventions and creations on display. When Gustave plays a haunting melody of his own composition on the piano, the Phantom is once again reminded of his one night with Christine and he is struck by the possibility that this musically gifted child could actually be his son (``Beautiful''). The Phantom questions Gustave about his talents and passions, finding that they are kindred spirits. Believing that Gustave will be able to see past the surface to what is inside, the Phantom is emboldened to remove the mask that hides his deformity (``The Beauty Underneath''). To his dismay, Gustave is horrified and screams at the sight, but Christine enters just in time to calm the boy. When the Phantom confronts her with his suspicions regarding Gustave's paternity, Christine confesses that the child is indeed his son, prompting the Phantom to vow that all his life's work will henceforth be for Gustave (``The Phantom Confronts Christine''). Unbeknownst to them, Madame Giry has overheard their conversation and is enraged, fearing that everything she and Meg have done for the Phantom over the years has been for nothing, as Gustave will be the sole beneficiary of his wealth and property.	did christine and the phantom have a son?	1	Was there a son born to Christine and the Phantom?
1370	Rafflesia -- The name ``corpse flower'' applied to Rafflesia can be confusing because this common name also refers to the titan arum (Amorphophallus titanum) of the family Araceae. Moreover, because Amorphophallus has the world's largest unbranched inflorescence, it is sometimes mistakenly credited as having the world's largest flower. Both Rafflesia and Amorphophallus are flowering plants, but they are only distantly related. Rafflesia arnoldii has the largest single flower of any flowering plant, at least in terms of weight. Amorphophallus titanum has the largest unbranched inflorescence, while the talipot palm (Corypha umbraculifera) forms the largest branched inflorescence, containing thousands of flowers; the talipot is monocarpic, meaning the individual plants die after flowering.	is rafflesia the largest flower in the world?	0	Is the rafflesia the world's largest flower?
821	Marble Falls, Texas -- Marble Falls is located in southern Burnet County at 30°34′N 98°17′W﻿ / ﻿30.567°N 98.283°W﻿ / 30.567; -98.283 (30.5741, -98.2782), on the banks of Lake Marble Falls. According to the Handbook of Texas website, the former falls were flooded by the lake, which was created by a shelf of limestone running diagonally across the Colorado River from northeast to southwest. The upper layer of limestone, brownish on the exterior but a deep blue inside, was so hard and cherty it was mistaken for marble. The falls were actually three distinct formations at the head of a canyon 1.25 miles (2.01 km) long, with a drop of some 50 feet (15 m) through the limestone strata. The natural lake and waterfall were covered when the Colorado River was dammed with the completion of Max Starcke Dam in 1951. A photo of the falls as they once existed can be seen at the website for the Wallace Guest House, a local bed and breakfast. Lake Marble Falls sits between Lake Lyndon B. Johnson to the north and Lake Travis to the south. The falls for which the city is named are now underwater but are revealed every few years when the lake is lowered.	is there a waterfall in marble falls tx?	1	Where can I find a waterfall in Marble Falls, Texas?
2869	Differentiable function -- A function f is said to be continuously differentiable if the derivative f′(x) exists and is itself a continuous function. Though the derivative of a differentiable function never has a jump discontinuity, it is possible for the derivative to have an essential discontinuity. For example, the function	is the derivative of a continuous function always continuous?	0	Is a continuous function's derivative always continuous?
1844	Arrowverse -- The Arrowverse is an American media franchise and shared fictional universe that is centered on various television series airing on The CW and web series airing on CW Seed, developed by Greg Berlanti, Marc Guggenheim, Andrew Kreisberg, Ali Adler, Phil Klemmer, and Geoff Johns, based on characters appearing in publications by DC Comics. The shared universe, much like the DC Universe in comic books, was established by crossing over common plot elements, settings, cast, and characters. The Arrowverse stars Stephen Amell as Oliver Queen / Green Arrow, Grant Gustin as Barry Allen / Flash, Melissa Benoist as Kara Danvers / Supergirl, Megalyn Echikunwoke as Mari Jiwe McCabe / Vixen, with an ensemble cast leading Legends of Tomorrow, including Arthur Darvill as Rip Hunter, Caity Lotz as Sara Lance / White Canary, Brandon Routh as Ray Palmer / Atom, Dominic Purcell as Mick Rory / Heat Wave, with Victor Garber and Franz Drameh as Martin Stein & Jefferson ``Jax'' Jackson / Firestorm. Russell Tovey stars as Ray Terrill / The Ray.	are flash arrow and supergirl in the same universe?	1	Is the universe of Flash Arrow and Supergirl the same?
1375	Foreign key -- For example, consider a database with two tables: a CUSTOMER table that includes all customer data and an ORDER table that includes all customer orders. Suppose the business requires that each order must refer to a single customer. To reflect this in the database, a foreign key column is added to the ORDER table (e.g., CUSTOMERID), which references the primary key of CUSTOMER (e.g. ID). Because the primary key of a table must be unique, and because CUSTOMERID only contains values from that primary key field, we may assume that, when it has a value, CUSTOMERID will identify the particular customer which placed the order. However, this can no longer be assumed if the ORDER table is not kept up to date when rows of the CUSTOMER table are deleted or the ID column altered, and working with these tables may become more difficult. Many real world databases work around this problem by 'inactivating' rather than physically deleting master table foreign keys, or by complex update programs that modify all references to a foreign key when a change is needed.	can a database contain more than one table?	1	Is it possible for a database to have more than one table?
