index	sentence1	sentence2	label	sentence2_paraphrase
224	"Bangladesh, one of the world's poorest countries, suffered a devastating drought and famine in 1974, which killed 1.5 million people. While trying to help starving villagers, he met a 21-year-old woman named Sufia Begum, who was burdened by a tiny yet crushing debt, Yunus recalled in his autobiography, ""Banker to the Poor."""	1.5 million people were killed during the drought and famine devastation in 1974 in Bangladesh.	0	During Bangladesh's drought and famine devastation in 1974, 1.5 million people were killed.
225	The humane organization, Caritas, quoting its branch in Iraq, announced today, in Germany, that several Iraqi hospitals, especially Saddam Hospital, which is considered the biggest hospital in Iraq, were hit in the American-British bombing of the Iraqi capital.	Caritas announced that several Iraqi hospitals, (excluding Saddam Hospital,) were hit in the shelling of Baghdad.	1	Caritas reported that several Iraqi hospitals (excluding Saddam Hospital) had been hit by shelling in Baghdad.
226	A United Nations vehicle was attacked in the Serbian province of Kosovo and at least one civilian policeman was killed, the United Nations said.	A civilian policeman was killed.	0	A civilian police officer was killed.
227	The Tuesday drawing of the Italian Superenalotto game has awarded the biggest prize ever won in a betting game in Italy. The single winner of the first category prize (6 numbers guessed) will receive an amount, including the jackpot from previous un-won draws, of 72.090.405,19 (US$93 million.) The prize money will be received in full without further taxation, since taxes in prizes of that type are taken at a fixed rate by the Italian State from the money paid for the bet.	Superenalotto awarded a prize of more than 72 million euros.	0	A prize of more than 72 million euros was awarded by Superenalotto.
228	The 26-member International Energy Agency said, Friday, that member countries would release oil to help relieve the U.S. fuel crisis caused by Hurricane Katrina.	An international oil agency will make 60 million barrels of oil and gasoline available to the marketplace.	1	60 million barrels of oil and gasoline will be made available to the market by an international oil agency.
229	Brown brushed off a threat made Monday by his counterpart, Foreign Trade Minister Wu Yi, that if China's effort to join the General Agreement on Tariffs and Trade (GATT) by the year's end is unsuccessful, Beijing will no longer be bound by previous trade and economic commitments.	Wu Yi is the Foreign Trade Minister of China.	0	China's Foreign Trade Minister is Wu Yi.
230	The latest attacks targeted the U-S embassy and a top prosecutor's office in the Uzbek capital.	Yesterday's terrorist bombings killed two people at the entrance to the Israeli Embassy in Uzbekistan's capital.	1	Terrorists detonated two bombs at the entrance to the Israeli Embassy in Uzbekistan's capital yesterday, killing two people.
232	In New York, Nymex light crude oil for July delivery hit $42.38 per barrel on Tuesday	Crude oil futures surged to an all-time high in New York Tuesday, at 42 dollars a barrel.	1	Crude oil futures hit an all-time high of 42 dollars per barrel in New York on Tuesday.
233	At the same time the Italian digital rights group, Electronic Frontiers Italy, has asked the nation's government to investigate Sony over its use of anti-piracy software.	Italy's government investigates Sony.	1	The Italian government is investigating Sony.
234	Sheriff's officials said a robot could be put to use in Ventura County, where the bomb squad has responded to more than 40 calls this year.	Police use robots for bomb-handling.	0	Police use robots to handle bombs.
235	Schroder Investment Management has indicated its intention to accept Revival's offer to buy retailer Marks & Spencer.	Revival tries to take over Marks & Spencer Group.	0	Revival makes an attempt to take over the Marks & Spencer Group.
236	"Senator Dick Lugar, the ranking Republican member of the Senate Committee on Foreign Relations, spoke in favor of the bill, saying that the United States' embargo on Cuba had ""failed to achieve its stated purpose of bringing democracy to the Cuban people."" Senator Bob Menendez of New Jersey, a Democrat and a second generation Cuban-American, opposes the bill, arguing that free travel by Europeans, Canadians and the citizens of other Latin American countries has not helped to democratize the island nation. ""The regime has not opened up,"" said Sen. Menendez. ""On the contrary, it has used resources to become more oppressive."""	Dick Lugar is a member of the Cuban-American community.	1	Dick Lugar belongs to the Cuban-American community.
237	California voters recall Gray Davis and elect Arnold Schwarzenegger as their governor.	California voters dumped Gov. Gray Davis and replaced him with Arnold Schwarzenegger.	0	California voters ousted Gov. Gray Davis and elected Arnold Schwarzenegger in his place.
238	The U.S. handed power on June 30 to Iraqâ_s interim government chosen by the United Nations and Paul Bremer, former governor of Iraq.	The United Nations officialy transferred power to Iraq.	1	The United Nations formally handed over power to Iraq.
239	"Rolling Stone, one of the music industry's foremost publications, has found itself reporting false news gleaned from a Wikipedia article. The online edition of the magazine's Rock & Roll Daily released an article entitled ""Halle Berry Set to Ruin Reputation..."" on December 11, reporting on the news that the actor had announced her intentions to release a musical album. The story was quickly picked up by the Washington Post, All Headline News and other news agencies eager to report on the Academy Award-winning actress' foray into the musical world. The only trouble is, according to one of the album's alleged producers, Scott Storch, there is no such album...and he definitely hasn't produced three songs for it."	Halle Berry works with Scott Storch.	1	Halle Berry collaborates with Scott Storch.
240	Kevin Whitaker, who heads the Cuban affairs office at the Department of State, spoke with Lazo on two occasions about the effort to give his sons visas.	Kevin Whitaker is a manager of the Department of State.	0	Kevin Whitaker is a State Department manager.
241	In support of the Earth Island Institute rebuttal, Greenpeace founder Don White made the following - unfortunately prophetic - public statement on 8/18/93.	Don White is the founder of Greenpeace.	0	Greenpeace was founded by Don White.
242	It appears that the super-conducting maglev system is technically ready to be used commercially as a very high-speed, large-capacity transportation system.	Maglev is commercially used.	1	Maglev trains are used in the commercial sector.
243	Thailand's official religion is Buddhism which claims the allegiance of most Thai people. Their cultural identity seems almost inseparably intertwined with Buddhist traditions. The people practice folk Buddhism which includes and elaborate system of spirit worship.	The official religion of Thailand is Theravada Buddhism.	1	Thailand's official religion is Theravada Buddhism.
244	"India's steelmaker Tata Steel, of the Tata Group, buys Anglo-Dutch steel giant Corus Group for £6.7 billion ($12 billion), making it the world's fifth largest steel manufacturer. 70-year-old Tata group Chairman Ratan Tata, from one of India's best-known business families, won the race against Benjamin Steinbruch, 52, a famous Brazilian executive who is the chief and main owner of Companhia Siderurgica Nacional (CSN). Tata paid investors 608 pence a share, whereas the Brazilians final offer in an auction by the U.K.'s Takeover Panel was 603 pence. The deal triples Tata Steel's capacity to almost 28 million tons a year. Tata: ""This is the first step in showing that Indian industry can step outside its shores into an international market place as a global player."" Corus, which was created from the merger of British Steel and Hoogovens, currently employs 47,300 people worldwide. Last year the company was the ninth-largest steel maker worldwide. The takeover may start a round of consolidation in the fragmented steel sector."	CSN produces 28 million tons of steel per year.	1	Every year, CSN produces 28 million tons of steel.
245	New York boasts the largest number of billionaires, with 40 residing in the Big Apple. The world's youngest billionaire is 22-year-old Hind Hariri, daughter of assassinated former Lebanese Prime Minister Rafik Hariri.	The number of billionaires increases.	1	The number of billionaires is growing.
246	UN Secretary General Kofi Annan has noted that the Iraqi people turned out in large numbers to vote in the January 30 ballot.	Kofi Annan was elected in the January 30 ballot.	1	Kofi Annan was elected on January 30th.
247	With South Carolina being Jesse Jackson's home state, there was a very strong incentive in the black community.	Jesse Jackson was born in South Carolina.	0	Jesse Jackson was born in the state of South Carolina.
248	NASA estimated, Monday, that it will cost $104 billion to return astronauts to the moon, by 2018, in a new rocket that combines the space shuttle with the capsule of an earlier NASA era.	The new space vehicle design uses shuttle rocket parts and an Apollo-style capsule.	1	The new space vehicle design incorporates shuttle rocket components as well as an Apollo-style capsule.
249	Most commercial logwood is grown in Honduras.	Plants are grown in water or in substances other than soil.	1	Plants are grown in water or other non-soil media.
250	Arlene Blum is a legendary trailblazer by any measure. Defying the climbing establishment of the 1970s, she led the first teams of women on successful ascents of Mt. McKinley and Annapurna, and was the first American woman to attempt Mt. Everest. In her long, adventurous career, she has played a leading role in more than twenty expeditions and forged a place for women in the perilous arena of high-altitude mountaineering.	A woman succeeds in climbing Everest solo.	1	A woman climbs Mount Everest alone.
251	"Gabriel Garcia Marquez is the author of ""One Hundred Years of Solitude"", ""The Autumn of the Patriarch"" and other novels."	Gabriel Garcia Marquez is a novelist and writer.	0	Gabriel Garcia Marquez is an author and novelist.
252	The investigation involving Mr Lopez and three associates are primarily concerned with suspicions of the systematic theft of secrets.	Seven other GM executives left with Lopez.	1	Lopez was followed by seven other GM executives.
253	High dietary intake of potassium from fruits and vegetables throughout one's life helps to preserve bone mass, thereby preventing bone loss that can lead to osteoporosis.	Dietary intake of potassium prevents osteoporosis.	0	Potassium consumption in the diet helps to prevent osteoporosis.
254	Monica Meadows, a 22-year-old model from Atlanta, was shot in the shoulder on a subway car in New York City.	Monica Meadows, 23, was shot in shoulder while riding a subway car in New York City	1	Monica Meadows, 23, was shot in the shoulder while riding the New York City subway.
255	Phish disbands after a final concert in Vermont on Aug. 15	Rock band Phish holds final concert in Vermont.	0	Phish performs their final show in Vermont.
256	Plans are being drawn up to build a £3.3m working replica of the boat that took Charles Darwin around the world at Milford Haven in Pembrokeshire. Fundraising for the project, which would mark the 200th anniversary of Darwin's birth in 2009, is under way. The aim is to built a seaworthy vessel identical to the HMS Beagle on the outside, but with a modern interior. Darwin, who showed how natural selection could explain evolution, sailed on the Beagle between 1831-36.	Charles Darwin took a voyage on a ship named HMS Beagle.	0	Charles Darwin embarked on a voyage aboard the HMS Beagle.
257	The most sought after piece and the most expensive item was a bronze bust of Spencer Tracy that Hepburn created in the 1960s.	The highest-selling item was a bronze bust made by Hepburn in the 1960s of her actor lover Spencer Tracy.	0	The best-selling item was a bronze bust of Hepburn's actor lover Spencer Tracy, which she created in the 1960s.
258	Hadley said Jordan was chosen as the site of the meeting between Bush and al-Maliki because of its support for the unity government in Iraq and the fact that Bush would be in the region.	Bush will meet al-Maliki in Hadley.	1	In Hadley, Bush will meet with al-Maliki.
259	A senior coalition official in Iraq said the body, which was found by U.S. military police west of Baghdad, appeared to have been thrown from a vehicle.	A body has been found by U. S. military police.	0	Military police in the United States discovered a body.
260	Oqueli was to fly to Nicaragua to join an international Socialist delegation, which will observe the Nicaraguan electoral campaign.	An electoral campaign is being held in Nicaragua.	0	Nicaragua is holding an election campaign.
262	Aeschylus was born in 525 BC, and spent his youth as a soldier in the Athenian army. He wrote The Persians when he was 53 years old, but it is his earliest surviving work.	"""The Persians"" was written by Aeschylus."	0	"Aeschylus wrote the play ""The Persians."""
263	The Croatian intent is even more problematic because the border between Slovenian and Croatian territorial waters has not yet been established. The dispute about this border began in 1991 when both countries became independent.	There is a territorial waters dispute.	0	There is a dispute over territorial waters.
264	Hurricane Katrina petroleum-supply outlook improved somewhat, yesterday, as U.S. and European governments agreed to release 2 million barrels a day, of oil and refined products, from their reserves.	60 million barrels of oil and gasoline will be available to the marketplace.	1	The market will have access to 60 million barrels of oil and gasoline.
265	Thursday's assassination of Ms. Bhutto has plunged the Pakistani nation into a situation that many perceive as a crisis, with violent protests across the country. Officials say the violence has also caused tens of millions of dollars in damages. Most of the deaths have occurred in southern Sindh province, which is Ms. Bhutto's political stronghold. The worsening security situation prompted President Musharraf on Saturday to order his security chiefs to deal firmly with violent protesters.	Musharraf has ordered rioters to take firm action against security forces.	1	Musharraf has directed rioters to use force against security forces.
266	In 1865, John Wilkes Booth, the assassin of President Abraham Lincoln, was surrounded by federal troops near Bowling Green, Va., and killed.	John Wilkes Booth killed President Abraham Lincoln.	0	President Abraham Lincoln was assassinated by John Wilkes Booth.
268	As a result, peptic ulcer disease has been transformed from a chronic, frequently disabling condition to one that can be cured by a short regimen of antibiotics and other medicines.	Antibiotics are used against peptic ulcer.	0	Peptic ulcers are treated with antibiotics.
269	In the history of art, prehistoric art is all art produced in preliterate cultures (prehistory), beginning somewhere in very late geological history.	Prehistoric art discovered in South Africa.	1	South African prehistoric art has been discovered.
270	The capital of Slovenia is Ljubljana, with 270,000 inhabitants.	Slovenia has 270,000 inhabitants.	1	Slovenia's population is 270,000 people.
273	A light blue 1975 Ford Escort GL once owned by Pope John Paul II sold for $690,000 Saturday to a Houston multimillionaire who said he plans to put it in a museum he wants to build in his hometown.	A Houston multimillionaire buys the Pope's Ford Escort.	0	A multimillionaire from Houston purchases the Pope's Ford Escort.
274	On October 1 2001, EU and other countries introduced the option for domestic animal owners to apply for Pet passports under the Pets Travel Scheme (PETS for short), for pets returning from abroad to the United Kingdom. This replaced the old system of 6 months compulsory quarantine for all domestic pets.	In 2001, the EU introduced a passport for pets.	0	The European Union introduced a passport for pets in 2001.
275	Kozlowski and the company's former chief financial officer, Mark Swartz, were sentenced, on Monday, to up to 25 years in prison.	Kozlowski was sentenced, Monday, to serve up to 25 years in prison.	0	Kozlowski was sentenced to up to 25 years in prison on Monday.
276	"Danny Kennedy, Greenpeace campaigns director, said: ""The burden of proof in the Scott Parkin expulsion case lies morally with the Commonwealth, to prove that he is a danger. When the Government brought in anti-terror legislation, they promised the public that these laws would only be used to confront a real and present risk of a terrorist attack, not a sweep-all approach against citizens. Peace is not terrorism. Peace is not a threat to national security. No democratic government should expel a foreign citizen because [it] opposes his political opinions."""	Greenpeace director said that peace is terrorism.	1	According to Greenpeace's director, peace is terrorism.
